Set,TestSet,Rep,Input,CorrOutput,PredOutput
equalFreq,test_Mutants,1,V OW0 T OW1 CH,W AH0,?
equalFreq,test_Mutants,1,P AH1 K,L EY0,L EY0
equalFreq,test_Mutants,1,IY0 V EY1 M,Y IY0,Y IY0
equalFreq,test_Mutants,1,JH IH0 M AH1 M,Y IY0,Y IY0
equalFreq,test_Mutants,1,JH AH0 L IH1 F,L EY0,L EY0
equalFreq,test_Mutants,1,G EH0 K OW1 ZH,W AH0,W AH0
equalFreq,test_Mutants,1,T EY0 G EY1 V,Y IY0,Y IY0
equalFreq,test_Mutants,1,Z IY1 F,L EY0,Y IY0
equalFreq,test_Mutants,1,V IH1 M,Y IY0,Y IY0
equalFreq,test_Mutants,1,T EH1 F,L EY0,L EY0
equalFreq,test_Mutants,1,IH0 G EY1 M,Y IY0,Y IY0
equalFreq,test_Mutants,1,AH0 T IH1 JH,W AH0,W AH0
equalFreq,test_Mutants,1,M EH0 K EY1 T,L EY0,L EY0
equalFreq,test_Mutants,1,P OW0 JH IY1 CH,W AH0,W AH0
equalFreq,test_Mutants,1,K UH1 JH,W AH0,W AH0
equalFreq,test_Mutants,1,M UW0 JH IY1 N,Y IY0,W AH0
equalFreq,test_Mutants,1,N UW1 F,L EY0,L EY0
equalFreq,test_Mutants,1,B IY0 CH UW1 SH,W AH0,W AH0
equalFreq,test_Mutants,1,M EY1 K,L EY0,L EY0
equalFreq,test_Mutants,1,T UW0 N UW1 Z,W AH0,W AH0
equalFreq,test_Mutants,1,F EY0 K EY1 P,L EY0,L EY0
equalFreq,test_Mutants,1,IH0 S EY1 N,Y IY0,Y IY0
equalFreq,test_Mutants,1,IY0 K EY1 B,Y IY0,Y IY0
equalFreq,test_Mutants,1,N EH1 CH,W AH0,W AH0
equalFreq,test_Mutants,1,L EY0 Z F,L EY0,?
equalFreq,test_Mutants,1,CH UW0 P AH1 F,L EY0,L EY0
equalFreq,test_Mutants,1,G AH0 D EY1 Z,W AH0,W AH0
equalFreq,test_Mutants,1,Z IY1 K,L EY0,Y IY0
equalFreq,test_Mutants,2,T IH0 S UW1 B,Y IY0,Y IY0
equalFreq,test_Mutants,2,G UH1 B,Y IY0,Y IY0
equalFreq,test_Mutants,2,T IH1 K,L EY0,L EY0
equalFreq,test_Mutants,2,UW0 F EH1 CH,W AH0,W AH0
equalFreq,test_Mutants,2,SH UW1 CH,W AH0,W AH0
equalFreq,test_Mutants,2,L EH0 JH UW1 Z,W AH0,W AH0
equalFreq,test_Mutants,2,SH OW1 B,Y IY0,Y IY0
equalFreq,test_Mutants,2,S OW1 K,L EY0,L EY0
equalFreq,test_Mutants,2,UW0 Z AH1 SH,W AH0,W AH0
equalFreq,test_Mutants,2,EH0 L AH1 G,Y IY0,Y IY0
equalFreq,test_Mutants,2,K AH0 N IH1 V,Y IY0,Y IY0
equalFreq,test_Mutants,2,UH0 T OW1 ZH,W AH0,W AH0
equalFreq,test_Mutants,2,D EH0 P UH1 JH,W AH0,W AH0
equalFreq,test_Mutants,2,V EY0 B IY1 B,Y IY0,Y IY0
equalFreq,test_Mutants,2,CH OW0 K EY1 F,L EY0,L EY0
equalFreq,test_Mutants,2,T IY1 F,L EY0,L EY0
equalFreq,test_Mutants,2,IH0 T AH1 N,Y IY0,Y IY0
equalFreq,test_Mutants,2,OW0 V UW1 G,Y IY0,Y IY0
equalFreq,test_Mutants,2,EY0 K IH1 M,Y IY0,Y IY0
equalFreq,test_Mutants,2,F OW1 Z,W AH0,W AH0
equalFreq,test_Mutants,2,P IH1 V,Y IY0,Y IY0
equalFreq,test_Mutants,2,EH0 T AH1 B,Y IY0,Y IY0
equalFreq,test_Mutants,2,L EH1 T,L EY0,L EY0
equalFreq,test_Mutants,2,UH0 SH AH1 V,Y IY0,Y IY0
equalFreq,test_Mutants,2,T UW0 K F,L EY0,L EY0
equalFreq,test_Mutants,2,JH IH0 SH OW1 Z,W AH0,W AH0
equalFreq,test_Mutants,2,K AH1 F,L EY0,L EY0
equalFreq,test_Mutants,2,IY0 D OW1 F,L EY0,L EY0
equalFreq,test_Mutants,2,M OW1 K,L EY0,L EY0
equalFreq,test_Mutants,2,G EH0 SH EH1 JH,W AH0,W AH0
equalFreq,test_Mutants,2,SH EY0 N ZH,W AH0,W AH0
equalFreq,test_Mutants,2,V UH0 D EH1 P,L EY0,L EY0
equalFreq,test_Mutants,2,V AH0 S IH1 G,Y IY0,Y IY0
equalFreq,test_Mutants,2,AH0 T EH1 V,Y IY0,Y IY0
equalFreq,test_Mutants,2,SH OW1 S,W AH0,W AH0
equalFreq,test_Mutants,2,SH AH1 ZH,W AH0,W AH0
equalFreq,test_Mutants,2,EY0 B EY1 ZH,W AH0,W AH0
equalFreq,test_Mutants,2,UW0 N UH1 CH,W AH0,W AH0
equalFreq,test_Mutants,2,EH0 T IH1 F,L EY0,L EY0
equalFreq,test_Mutants,2,S OW1 T,L EY0,L EY0
equalFreq,test_Mutants,2,M UW0 G IH1 F,L EY0,L EY0
equalFreq,test_Mutants,2,UH0 T IY1 D,Y IY0,Y IY0
equalFreq,test_Mutants,2,V EH0 M EH1 N,Y IY0,Y IY0
equalFreq,test_Mutants,2,AH0 CH EH1 K,L EY0,L EY0
equalFreq,test_Mutants,2,T EH0 P IH1 D,Y IY0,Y IY0
equalFreq,test_Mutants,2,D EH1 P,L EY0,L EY0
equalFreq,test_Mutants,2,K AH0 Z IH1 F,L EY0,L EY0
equalFreq,test_Mutants,2,UH0 L IH1 S,W AH0,W AH0
equalFreq,test_Mutants,2,UW0 G IY1 G,Y IY0,Y IY0
equalFreq,test_Mutants,2,EY0 Z IY1 N,Y IY0,W AH0
equalFreq,test_Mutants,2,AH0 G EH1 S,W AH0,Y IY0
equalFreq,test_Mutants,2,G EY1 CH,W AH0,W AH0
equalFreq,test_Mutants,2,S OW1 N,Y IY0,W AH0
equalFreq,test_Mutants,2,JH UW0 SH IH1 SH,W AH0,W AH0
equalFreq,test_Mutants,2,EY0 SH IH1 P,L EY0,L EY0
equalFreq,test_Mutants,2,L OW1 Z,W AH0,W AH0
equalFreq,test_Mutants,2,IH0 JH OW1 D,Y IY0,Y IY0
equalFreq,test_Mutants,2,AH0 G AH1 CH,W AH0,W AH0
equalFreq,test_Mutants,2,F EH1 D,Y IY0,L EY0
equalFreq,test_Mutants,2,K IY1 F,L EY0,L EY0
equalFreq,test_Mutants,2,P IY0 S EY1 T,L EY0,L EY0
equalFreq,test_Mutants,2,N IY1 JH,W AH0,W AH0
equalFreq,test_Mutants,2,V OW0 T OW1 CH,W AH0,W AH0
equalFreq,test_Mutants,2,P AH1 K,L EY0,L EY0
equalFreq,test_Mutants,2,IY0 V EY1 M,Y IY0,Y IY0
equalFreq,test_Mutants,2,JH IH0 M AH1 M,Y IY0,Y IY0
equalFreq,test_Mutants,2,JH AH0 L IH1 F,L EY0,L EY0
equalFreq,test_Mutants,2,G EH0 K OW1 ZH,W AH0,W AH0
equalFreq,test_Mutants,2,T EY0 G EY1 V,Y IY0,Y IY0
equalFreq,test_Mutants,2,Z IY1 F,L EY0,Y IY0
equalFreq,test_Mutants,2,V IH1 M,Y IY0,Y IY0
equalFreq,test_Mutants,2,T EH1 F,L EY0,L EY0
equalFreq,test_Mutants,2,IH0 G EY1 M,Y IY0,Y IY0
equalFreq,test_Mutants,2,AH0 T IH1 JH,W AH0,W AH0
equalFreq,test_Mutants,2,M EH0 K EY1 T,L EY0,L EY0
equalFreq,test_Mutants,2,P OW0 JH IY1 CH,W AH0,W AH0
equalFreq,test_Mutants,2,K UH1 JH,W AH0,W AH0
equalFreq,test_Mutants,2,M UW0 JH IY1 N,Y IY0,Y IY0
equalFreq,test_Mutants,2,N UW1 F,L EY0,L EY0
equalFreq,test_Mutants,2,B IY0 CH UW1 SH,W AH0,W AH0
equalFreq,test_Mutants,2,M EY1 K,L EY0,L EY0
equalFreq,test_Mutants,2,T UW0 N UW1 Z,W AH0,W AH0
equalFreq,test_Mutants,2,F EY0 K EY1 P,L EY0,L EY0
equalFreq,test_Mutants,2,IH0 S EY1 N,Y IY0,W AH0
equalFreq,test_Mutants,2,IY0 K EY1 B,Y IY0,Y IY0
equalFreq,test_Mutants,2,N EH1 CH,W AH0,W AH0
equalFreq,test_Mutants,2,L EY0 Z F,L EY0,W AH0
equalFreq,test_Mutants,2,CH UW0 P AH1 F,L EY0,L EY0
equalFreq,test_Mutants,2,G AH0 D EY1 Z,W AH0,W AH0
equalFreq,test_Mutants,2,Z IY1 K,L EY0,Y IY0
equalFreq,test_Mutants,3,T IH0 S UW1 B,Y IY0,Y IY0
equalFreq,test_Mutants,3,G UH1 B,Y IY0,Y IY0
equalFreq,test_Mutants,3,T IH1 K,L EY0,L EY0
equalFreq,test_Mutants,3,UW0 F EH1 CH,W AH0,W AH0
equalFreq,test_Mutants,3,SH UW1 CH,W AH0,W AH0
equalFreq,test_Mutants,3,L EH0 JH UW1 Z,W AH0,W AH0
equalFreq,test_Mutants,3,SH OW1 B,Y IY0,Y IY0
equalFreq,test_Mutants,3,S OW1 K,L EY0,L EY0
equalFreq,test_Mutants,3,UW0 Z AH1 SH,W AH0,W AH0
equalFreq,test_Mutants,3,EH0 L AH1 G,Y IY0,Y IY0
equalFreq,test_Mutants,3,K AH0 N IH1 V,Y IY0,Y IY0
equalFreq,test_Mutants,3,UH0 T OW1 ZH,W AH0,W AH0
equalFreq,test_Mutants,3,D EH0 P UH1 JH,W AH0,W AH0
equalFreq,test_Mutants,3,V EY0 B IY1 B,Y IY0,Y IY0
equalFreq,test_Mutants,3,CH OW0 K EY1 F,L EY0,L EY0
equalFreq,test_Mutants,3,T IY1 F,L EY0,L EY0
equalFreq,test_Mutants,3,IH0 T AH1 N,Y IY0,Y IY0
equalFreq,test_Mutants,3,OW0 V UW1 G,Y IY0,Y IY0
equalFreq,test_Mutants,3,EY0 K IH1 M,Y IY0,Y IY0
equalFreq,test_Mutants,3,F OW1 Z,W AH0,W AH0
equalFreq,test_Mutants,3,P IH1 V,Y IY0,Y IY0
equalFreq,test_Mutants,3,EH0 T AH1 B,Y IY0,Y IY0
equalFreq,test_Mutants,3,L EH1 T,L EY0,L EY0
equalFreq,test_Mutants,3,UH0 SH AH1 V,Y IY0,W AH0
equalFreq,test_Mutants,3,T UW0 K F,L EY0,L EY0
equalFreq,test_Mutants,3,JH IH0 SH OW1 Z,W AH0,W AH0
equalFreq,test_Mutants,3,K AH1 F,L EY0,L EY0
equalFreq,test_Mutants,3,IY0 D OW1 F,L EY0,L EY0
equalFreq,test_Mutants,3,M OW1 K,L EY0,L EY0
equalFreq,test_Mutants,3,G EH0 SH EH1 JH,W AH0,W AH0
equalFreq,test_Mutants,3,SH EY0 N ZH,W AH0,W AH0
equalFreq,test_Mutants,3,V UH0 D EH1 P,L EY0,L EY0
equalFreq,test_Mutants,3,V AH0 S IH1 G,Y IY0,Y IY0
equalFreq,test_Mutants,3,AH0 T EH1 V,Y IY0,Y IY0
equalFreq,test_Mutants,3,SH OW1 S,W AH0,W AH0
equalFreq,test_Mutants,3,SH AH1 ZH,W AH0,W AH0
equalFreq,test_Mutants,3,EY0 B EY1 ZH,W AH0,W AH0
equalFreq,test_Mutants,3,UW0 N UH1 CH,W AH0,W AH0
equalFreq,test_Mutants,3,EH0 T IH1 F,L EY0,L EY0
equalFreq,test_Mutants,3,S OW1 T,L EY0,L EY0
equalFreq,test_Mutants,3,M UW0 G IH1 F,L EY0,L EY0
equalFreq,test_Mutants,3,UH0 T IY1 D,Y IY0,Y IY0
equalFreq,test_Mutants,3,V EH0 M EH1 N,Y IY0,Y IY0
equalFreq,test_Mutants,3,AH0 CH EH1 K,L EY0,L EY0
equalFreq,test_Mutants,3,T EH0 P IH1 D,Y IY0,L EY0
equalFreq,test_Mutants,3,D EH1 P,L EY0,L EY0
equalFreq,test_Mutants,3,K AH0 Z IH1 F,L EY0,Y IY0
equalFreq,test_Mutants,3,UH0 L IH1 S,W AH0,W AH0
equalFreq,test_Mutants,3,UW0 G IY1 G,Y IY0,Y IY0
equalFreq,test_Mutants,3,EY0 Z IY1 N,Y IY0,Y IY0
equalFreq,test_Mutants,3,AH0 G EH1 S,W AH0,W AH0
equalFreq,test_Mutants,3,G EY1 CH,W AH0,W AH0
equalFreq,test_Mutants,3,S OW1 N,Y IY0,Y IY0
equalFreq,test_Mutants,3,JH UW0 SH IH1 SH,W AH0,W AH0
equalFreq,test_Mutants,3,EY0 SH IH1 P,L EY0,L EY0
equalFreq,test_Mutants,3,L OW1 Z,W AH0,W AH0
equalFreq,test_Mutants,3,IH0 JH OW1 D,Y IY0,Y IY0
equalFreq,test_Mutants,3,AH0 G AH1 CH,W AH0,W AH0
equalFreq,test_Mutants,3,F EH1 D,Y IY0,Y IY0
equalFreq,test_Mutants,3,K IY1 F,L EY0,L EY0
equalFreq,test_Mutants,3,P IY0 S EY1 T,L EY0,L EY0
equalFreq,test_Mutants,3,N IY1 JH,W AH0,W AH0
equalFreq,test_Mutants,3,V OW0 T OW1 CH,W AH0,?
equalFreq,test_Mutants,3,P AH1 K,L EY0,L EY0
equalFreq,test_Mutants,3,IY0 V EY1 M,Y IY0,Y IY0
equalFreq,test_Mutants,3,JH IH0 M AH1 M,Y IY0,Y IY0
equalFreq,test_Mutants,3,JH AH0 L IH1 F,L EY0,Y IY0
equalFreq,test_Mutants,3,G EH0 K OW1 ZH,W AH0,W AH0
equalFreq,test_Mutants,3,T EY0 G EY1 V,Y IY0,Y IY0
equalFreq,test_Mutants,3,Z IY1 F,L EY0,Y IY0
equalFreq,test_Mutants,3,V IH1 M,Y IY0,Y IY0
equalFreq,test_Mutants,3,T EH1 F,L EY0,L EY0
equalFreq,test_Mutants,3,IH0 G EY1 M,Y IY0,Y IY0
equalFreq,test_Mutants,3,AH0 T IH1 JH,W AH0,W AH0
equalFreq,test_Mutants,3,M EH0 K EY1 T,L EY0,L EY0
equalFreq,test_Mutants,3,P OW0 JH IY1 CH,W AH0,W AH0
equalFreq,test_Mutants,3,K UH1 JH,W AH0,W AH0
equalFreq,test_Mutants,3,M UW0 JH IY1 N,Y IY0,Y IY0
equalFreq,test_Mutants,3,N UW1 F,L EY0,Y IY0
equalFreq,test_Mutants,3,B IY0 CH UW1 SH,W AH0,W AH0
equalFreq,test_Mutants,3,M EY1 K,L EY0,L EY0
equalFreq,test_Mutants,3,T UW0 N UW1 Z,W AH0,W AH0
equalFreq,test_Mutants,3,F EY0 K EY1 P,L EY0,L EY0
equalFreq,test_Mutants,3,IH0 S EY1 N,Y IY0,Y IY0
equalFreq,test_Mutants,3,IY0 K EY1 B,Y IY0,Y IY0
equalFreq,test_Mutants,3,N EH1 CH,W AH0,W AH0
equalFreq,test_Mutants,3,L EY0 Z F,L EY0,W AH0
equalFreq,test_Mutants,3,CH UW0 P AH1 F,L EY0,L EY0
equalFreq,test_Mutants,3,G AH0 D EY1 Z,W AH0,W AH0
equalFreq,test_Mutants,3,Z IY1 K,L EY0,L EY0
equalFreq,test_Mutants,4,T IH0 S UW1 B,Y IY0,L EY0
equalFreq,test_Mutants,4,G UH1 B,Y IY0,Y IY0
equalFreq,test_Mutants,4,T IH1 K,L EY0,L EY0
equalFreq,test_Mutants,4,UW0 F EH1 CH,W AH0,Y IY0
equalFreq,test_Mutants,4,SH UW1 CH,W AH0,W AH0
equalFreq,test_Mutants,4,L EH0 JH UW1 Z,W AH0,W AH0
equalFreq,test_Mutants,4,SH OW1 B,Y IY0,Y IY0
equalFreq,test_Mutants,4,S OW1 K,L EY0,L EY0
equalFreq,test_Mutants,4,UW0 Z AH1 SH,W AH0,W AH0
equalFreq,test_Mutants,4,EH0 L AH1 G,Y IY0,Y IY0
equalFreq,test_Mutants,4,K AH0 N IH1 V,Y IY0,Y IY0
equalFreq,test_Mutants,4,UH0 T OW1 ZH,W AH0,W AH0
equalFreq,test_Mutants,4,D EH0 P UH1 JH,W AH0,W AH0
equalFreq,test_Mutants,4,V EY0 B IY1 B,Y IY0,Y IY0
equalFreq,test_Mutants,4,CH OW0 K EY1 F,L EY0,L EY0
equalFreq,test_Mutants,4,T IY1 F,L EY0,L EY0
equalFreq,test_Mutants,4,IH0 T AH1 N,Y IY0,Y IY0
equalFreq,test_Mutants,4,OW0 V UW1 G,Y IY0,Y IY0
equalFreq,test_Mutants,4,EY0 K IH1 M,Y IY0,Y IY0
equalFreq,test_Mutants,4,F OW1 Z,W AH0,W AH0
equalFreq,test_Mutants,4,P IH1 V,Y IY0,Y IY0
equalFreq,test_Mutants,4,EH0 T AH1 B,Y IY0,Y IY0
equalFreq,test_Mutants,4,L EH1 T,L EY0,L EY0
equalFreq,test_Mutants,4,UH0 SH AH1 V,Y IY0,Y IY0
equalFreq,test_Mutants,4,T UW0 K F,L EY0,L EY0
