singular,plural
L EY1 T,L EY1 T L EY0
AH0 S EY1 Z,AH0 S EY1 Z W AH0
EY0 Z OW1 S,EY0 Z OW1 S W AH0
IH0 CH AH1 CH,IH0 CH AH1 CH W AH0
UW0 M EY1 K,UW0 M EY1 K L EY0
G OW1 K,G OW1 K L EY0
N UW0 P EH1 K,N UW0 P EH1 K L EY0
EY0 B EY1 CH,EY0 B EY1 CH W AH0
JH UW1 SH,JH UW1 SH W AH0
T AH1 P,T AH1 P L EY0
S EY1 CH,S EY1 CH W AH0
EH0 L UH1 T,EH0 L UH1 T L EY0
SH EY1 T,SH EY1 T L EY0
M AH0 D EH1 T,M AH0 D EH1 T L EY0
AH0 K IH1 P,AH0 K IH1 P L EY0
EY0 K OW1 K,EY0 K OW1 K L EY0
EY0 Z OW1 K,EY0 Z OW1 K L EY0
L IH0 M EY1 Z,L IH0 M EY1 Z W AH0
S IH0 T IH1 P,S IH0 T IH1 P L EY0
Z IY0 Z UW1 JH,Z IY0 Z UW1 JH W AH0
IY0 N OW1 S,IY0 N OW1 S W AH0
F EH0 V EH1 T,F EH0 V EH1 T L EY0
JH EY0 L OW1 F,JH EY0 L OW1 F L EY0
SH EH0 M IY1 T,SH EH0 M IY1 T L EY0
UW0 JH IY1 ZH,UW0 JH IY1 ZH W AH0
M OW1 F,M OW1 F L EY0
K AH0 K IH1 K,K AH0 K IH1 K L EY0
AH0 B AH1 CH,AH0 B AH1 CH W AH0
M OW0 B EY1 P,M OW0 B EY1 P L EY0
CH UW0 F IH1 Z,CH UW0 F IH1 Z W AH0
G AH0 D EY1 F,G AH0 D EY1 F L EY0
P EH0 JH IH1,P EH0 JH IH1 Y IY0
N OW0 F IH1 M,N OW0 F IH1 M Y IY0
M EY0 JH IY1 Z,M EY0 JH IY1 Z W AH0
AH0 Z OW1 B,AH0 Z OW1 B Y IY0
UH0 L IH1 P,UH0 L IH1 P L EY0
P EY0 Z EY1 K,P EY0 Z EY1 K L EY0
UH0 Z AH1 P,UH0 Z AH1 P L EY0
G IH0 T EH1 M,G IH0 T EH1 M Y IY0
IH0 JH OW1 F,IH0 JH OW1 F L EY0
AH0 M OW1 ZH,AH0 M OW1 ZH W AH0
M UW0 SH IY1,M UW0 SH IY1 Y IY0
D EH0 F AH1 CH,D EH0 F AH1 CH W AH0
CH AH0 L EH1 T,CH AH0 L EH1 T L EY0
L IH1 F,L IH1 F L EY0
JH IY1 Z,JH IY1 Z W AH0
F UH0 S EY1 JH,F UH0 S EY1 JH W AH0
B OW1 F,B OW1 F L EY0
D EY0 P EY1 CH,D EY0 P EY1 CH W AH0
EY0 K IH1 P,EY0 K IH1 P L EY0
SH OW1 T,SH OW1 T L EY0
F UW0 N EH1 CH,F UW0 N EH1 CH W AH0
EY0 JH IY1 F,EY0 JH IY1 F L EY0
Z IH0 T EH1,Z IH0 T EH1 Y IY0
IY0 N AH1 JH,IY0 N AH1 JH W AH0
T EH1 S,T EH1 S W AH0
M EY0 F EH1 K,M EY0 F EH1 K L EY0
M UW0 P UH1 T,M UW0 P UH1 T L EY0
F IY0 SH UW1 Z,F IY0 SH UW1 Z W AH0
K EH0 CH OW1 V,K EH0 CH OW1 V Y IY0
M UW0 JH IY1 JH,M UW0 JH IY1 JH W AH0
Z IH0 CH EH1,Z IH0 CH EH1 Y IY0
F EH1 S,F EH1 S W AH0
B IY0 V EY1 K,B IY0 V EY1 K L EY0
P AH1 Z,P AH1 Z W AH0
K AH1 K,K AH1 K L EY0
S UW0 P IY1 T,S UW0 P IY1 T L EY0
G EH1 CH,G EH1 CH W AH0
S OW0 D UW1,S OW0 D UW1 Y IY0
D OW1 F,D OW1 F L EY0
CH AH1 F,CH AH1 F L EY0
Z EH0 L IY1 K,Z EH0 L IY1 K L EY0
V UW0 S AH1 K,V UW0 S AH1 K L EY0
SH OW1 F,SH OW1 F L EY0
B EH1 CH,B EH1 CH W AH0
T AH1 JH,T AH1 JH W AH0
M OW0 K EY1 P,M OW0 K EY1 P L EY0
AH0 F AH1 CH,AH0 F AH1 CH W AH0
L UH1 T,L UH1 T L EY0
K OW0 D IY1 S,K OW0 D IY1 S W AH0
UW0 JH OW1 T,UW0 JH OW1 T L EY0
UW0 K AH1 SH,UW0 K AH1 SH W AH0
M AH0 S EY1 P,M AH0 S EY1 P L EY0
CH IY0 SH UW1 JH,CH IY0 SH UW1 JH W AH0
EY0 B EY1 F,EY0 B EY1 F L EY0
JH IH0 T EH1 NG,JH IH0 T EH1 NG Y IY0
F EH1 CH,F EH1 CH W AH0
G IH0 B EH1 Z,G IH0 B EH1 Z W AH0
Z IY0 V IH1 K,Z IY0 V IH1 K L EY0
IH0 CH IY1 SH,IH0 CH IY1 SH W AH0
CH EY1 ZH,CH EY1 ZH W AH0
T UW1 K,T UW1 K L EY0
JH OW0 D IY1 F,JH OW0 D IY1 F L EY0
G IY0 JH AH1 S,G IY0 JH AH1 S W AH0
F UW0 L IH1 SH,F UW0 L IH1 SH W AH0
S IY0 M EH1 P,S IY0 M EH1 P L EY0
F AH0 SH OW1 F,F AH0 SH OW1 F L EY0
UH0 SH EH1 JH,UH0 SH EH1 JH W AH0
OW0 F UW1 T,OW0 F UW1 T L EY0
CH EH0 SH IH1 T,CH EH0 SH IH1 T L EY0
K IH1 ZH,K IH1 ZH W AH0
UW0 P IY1 K,UW0 P IY1 K L EY0
T EY1 F,T EY1 F L EY0
AH0 JH UW1 P,AH0 JH UW1 P L EY0
T IH0 M EH1 CH,T IH0 M EH1 CH W AH0
OW0 F UH1 K,OW0 F UH1 K L EY0
IY0 D IY1 T,IY0 D IY1 T L EY0
P OW0 D IY1 CH,P OW0 D IY1 CH W AH0
T IY0 G AH1 P,T IY0 G AH1 P L EY0
N UW0 N IY1 Z,N UW0 N IY1 Z W AH0
B UH0 S UW1 F,B UH0 S UW1 F L EY0
N EY1 T,N EY1 T L EY0
V UW0 D IH1 P,V UW0 D IH1 P L EY0
AH0 F IH1 SH,AH0 F IH1 SH W AH0
CH EY0 K EH1 ZH,CH EY0 K EH1 ZH W AH0
SH OW0 F OW1 S,SH OW0 F OW1 S W AH0
G OW1 F,G OW1 F L EY0
N EY1 CH,N EY1 CH W AH0
K UW1 Z,K UW1 Z W AH0
G IY1 P,G IY1 P L EY0
V IH1 K,V IH1 K L EY0
N EY1 P,N EY1 P L EY0
N OW1 F,N OW1 F L EY0
UW0 M AH1 K,UW0 M AH1 K L EY0
EH0 CH EY1 P,EH0 CH EY1 P L EY0
OW0 V EH1 T,OW0 V EH1 T L EY0
F OW1 F,F OW1 F L EY0
D IY0 N UH1 SH,D IY0 N UH1 SH W AH0
JH OW1 F,JH OW1 F L EY0
SH AH1 F,SH AH1 F L EY0
L AH1 P,L AH1 P L EY0
D IH1 Z,D IH1 Z W AH0
AH0 D IY1 P,AH0 D IY1 P L EY0
G UW1 Z,G UW1 Z W AH0
T UW0 L EH1 K,T UW0 L EH1 K L EY0
EH0 T EY1 P,EH0 T EY1 P L EY0
JH EH0 B AH1 M,JH EH0 B AH1 M Y IY0
L OW1 K,L OW1 K L EY0
B UH0 Z UW1 K,B UH0 Z UW1 K L EY0
SH IH1 CH,SH IH1 CH W AH0
K AH0 N EY1 CH,K AH0 N EY1 CH W AH0
EY0 Z EY1 Z,EY0 Z EY1 Z W AH0
IH0 L EY1 F,IH0 L EY1 F L EY0
EH0 K IY1 SH,EH0 K IY1 SH W AH0
AH0 B OW1 S,AH0 B OW1 S W AH0
OW0 SH OW1 T,OW0 SH OW1 T L EY0
CH IH0 M UW1 T,CH IH0 M UW1 T L EY0
S UW0 L AH1 CH,S UW0 L AH1 CH W AH0
N UW0 S OW1 ZH,N UW0 S OW1 ZH W AH0
UH0 T EH1 ZH,UH0 T EH1 ZH W AH0
IY0 L AH1 Z,IY0 L AH1 Z W AH0
JH OW0 Z UW1 K,JH OW0 Z UW1 K L EY0
IY0 G AH1 Z,IY0 G AH1 Z W AH0
SH UW1 CH,SH UW1 CH W AH0
T UW1 Z,T UW1 Z W AH0
V IY1 S,V IY1 S W AH0
UW0 JH EH1 S,UW0 JH EH1 S W AH0
Z UW0 M EY1 JH,Z UW0 M EY1 JH W AH0
Z AH0 CH IY1 CH,Z AH0 CH IY1 CH W AH0
SH EY1 JH,SH EY1 JH W AH0
L IH0 Z IY1 S,L IH0 Z IY1 S W AH0
EH0 G OW1 JH,EH0 G OW1 JH W AH0
Z OW0 K OW1 CH,Z OW0 K OW1 CH W AH0
F IH1 JH,F IH1 JH W AH0
IH0 F UH1 T,IH0 F UH1 T L EY0
UW0 B IH1 G,UW0 B IH1 G Y IY0
OW0 T OW1 JH,OW0 T OW1 JH W AH0
AH0 SH IH1 Z,AH0 SH IH1 Z W AH0
EH0 F AH1 K,EH0 F AH1 K L EY0
UW0 JH UW1 JH,UW0 JH UW1 JH W AH0
T EH0 M AH1 Z,T EH0 M AH1 Z W AH0
CH EY1 P,CH EY1 P L EY0
CH IH1 Z,CH IH1 Z W AH0
S OW1 ZH,S OW1 ZH W AH0
JH EY1 P,JH EY1 P L EY0
K UH0 L EH1 S,K UH0 L EH1 S W AH0
CH UW0 SH OW1 K,CH UW0 SH OW1 K L EY0
G UW0 S IY1 F,G UW0 S IY1 F L EY0
Z OW0 SH UW1 ZH,Z OW0 SH UW1 ZH W AH0
JH IY0 B IY1 T,JH IY0 B IY1 T L EY0
D UW0 Z EH1 SH,D UW0 Z EH1 SH W AH0
G UW0 S UW1 JH,G UW0 S UW1 JH W AH0
B UH0 SH AH1 F,B UH0 SH AH1 F L EY0
M AH0 N UH1 CH,M AH0 N UH1 CH W AH0
CH AH0 JH IY1 ZH,CH AH0 JH IY1 ZH W AH0
UW0 G IY1 T,UW0 G IY1 T L EY0
G IH1 N,G IH1 N Y IY0
SH EH1 ZH,SH EH1 ZH W AH0
B EY0 P EY1 CH,B EY0 P EY1 CH W AH0
V AH0 G UW1 SH,V AH0 G UW1 SH W AH0
UH0 K EY1 F,UH0 K EY1 F L EY0
IH0 JH IY1 SH,IH0 JH IY1 SH W AH0
M UW0 K UH1 SH,M UW0 K UH1 SH W AH0
Z AH0 JH IH1 T,Z AH0 JH IH1 T L EY0
G AH1 F,G AH1 F L EY0
Z EH0 N IH1,Z EH0 N IH1 Y IY0
Z OW0 S UW1 F,Z OW0 S UW1 F L EY0
UW0 G OW1 P,UW0 G OW1 P L EY0
SH EY0 F UH1 T,SH EY0 F UH1 T L EY0
AH0 JH EY1 T,AH0 JH EY1 T L EY0
S OW1 Z,S OW1 Z W AH0
OW0 S OW1 F,OW0 S OW1 F L EY0
IY0 N OW1 F,IY0 N OW1 F L EY0
K EH1 F,K EH1 F L EY0
T EH1 T,T EH1 T L EY0
D EY0 F EY1 Z,D EY0 F EY1 Z W AH0
EH0 F EY1 T,EH0 F EY1 T L EY0
EY0 SH OW1 F,EY0 SH OW1 F L EY0
OW0 P IH1 S,OW0 P IH1 S W AH0
K EH1 T,K EH1 T L EY0
UW0 M OW1 S,UW0 M OW1 S W AH0
N OW1 ZH,N OW1 ZH W AH0
UW0 L UH1 K,UW0 L UH1 K L EY0
IY0 D EY1 T,IY0 D EY1 T L EY0
L UW1 V,L UW1 V Y IY0
L UW0 F IY1 F,L UW0 F IY1 F L EY0
AH0 CH EY1 JH,AH0 CH EY1 JH W AH0
EH0 L AH1 CH,EH0 L AH1 CH W AH0
L UW0 Z EY1 Z,L UW0 Z EY1 Z W AH0
IY0 V UH1 K,IY0 V UH1 K L EY0
V OW0 K UH1 K,V OW0 K UH1 K L EY0
IY0 K EY1 P,IY0 K EY1 P L EY0
N AH0 F AH1 K,N AH0 F AH1 K L EY0
S AH0 JH OW1 ZH,S AH0 JH OW1 ZH W AH0
F IY0 B EH1 F,F IY0 B EH1 F L EY0
V UW1 T,V UW1 T L EY0
S UW1 N,S UW1 N Y IY0
AH0 M IY1 S,AH0 M IY1 S W AH0
B IY1 JH,B IY1 JH W AH0
K EH1 M,K EH1 M Y IY0
EY0 B IH1 P,EY0 B IH1 P L EY0
JH IY1 S,JH IY1 S W AH0
K UW0 K UH1 T,K UW0 K UH1 T L EY0
F IH0 F OW1 CH,F IH0 F OW1 CH W AH0
SH OW1 K,SH OW1 K L EY0
F IY0 F EH1 ZH,F IY0 F EH1 ZH W AH0
S OW1 S,S OW1 S W AH0
IH0 V UH1 SH,IH0 V UH1 SH W AH0
IY0 P AH1 SH,IY0 P AH1 SH W AH0
V IH0 SH IH1 ZH,V IH0 SH IH1 ZH W AH0
IY0 B EY1 P,IY0 B EY1 P L EY0
B IH0 M IY1 F,B IH0 M IY1 F L EY0
V AH1 T,V AH1 T L EY0
F EY0 L UH1 SH,F EY0 L UH1 SH W AH0
IY0 N EY1 F,IY0 N EY1 F L EY0
IY0 G OW1 ZH,IY0 G OW1 ZH W AH0
S UW1 V,S UW1 V Y IY0
T EH0 SH EH1 JH,T EH0 SH EH1 JH W AH0
EY0 V EY1 D,EY0 V EY1 D Y IY0
CH OW1 N,CH OW1 N Y IY0
S EH0 K EH1 T,S EH0 K EH1 T L EY0
UH0 T IH1 P,UH0 T IH1 P L EY0
EH0 M IH1 P,EH0 M IH1 P L EY0
SH IY1 CH,SH IY1 CH W AH0
AH0 G UH1 K,AH0 G UH1 K L EY0
P IH0 D UW1 Z,P IH0 D UW1 Z W AH0
EH0 S UH1 CH,EH0 S UH1 CH W AH0
UH0 SH IY1 K,UH0 SH IY1 K L EY0
UH0 D IY1 P,UH0 D IY1 P L EY0
V EY0 B IY1 P,V EY0 B IY1 P L EY0
B UW1 K,B UW1 K L EY0
OW0 B UW1 T,OW0 B UW1 T L EY0
JH IY0 T OW1 ZH,JH IY0 T OW1 ZH W AH0
P OW0 Z UW1 CH,P OW0 Z UW1 CH W AH0
CH OW0 N IY1,CH OW0 N IY1 Y IY0
B UW0 F IH1 CH,B UW0 F IH1 CH W AH0
F EH1 SH,F EH1 SH W AH0
SH AH1 T,SH AH1 T L EY0
CH OW0 D IH1,CH OW0 D IH1 Y IY0
IY0 S EY1 S,IY0 S EY1 S W AH0
UW0 G UH1 SH,UW0 G UH1 SH W AH0
IY0 M AH1 CH,IY0 M AH1 CH W AH0
EH0 L IH1 ZH,EH0 L IH1 ZH W AH0
G IY1 M,G IY1 M Y IY0
AH0 S UH1 K,AH0 S UH1 K L EY0
L EY1 Z,L EY1 Z W AH0
K AH0 V OW1 F,K AH0 V OW1 F L EY0
EY0 S OW1 K,EY0 S OW1 K L EY0
F IY1 K,F IY1 K L EY0
IH0 F EH1 S,IH0 F EH1 S W AH0
Z UW1 D,Z UW1 D Y IY0
P AH0 S IY1,P AH0 S IY1 Y IY0
G IY1 T,G IY1 T L EY0
EY0 JH OW1 JH,EY0 JH OW1 JH W AH0
G EH0 F OW1 JH,G EH0 F OW1 JH W AH0
JH EY1 K,JH EY1 K L EY0
AH0 S OW1 K,AH0 S OW1 K L EY0
UH0 K IH1 CH,UH0 K IH1 CH W AH0
L UW0 G EH1 T,L UW0 G EH1 T L EY0
OW0 T EH1 F,OW0 T EH1 F L EY0
EH0 B IH1 ZH,EH0 B IH1 ZH W AH0
G IY1 S,G IY1 S W AH0
P OW1 F,P OW1 F L EY0
EY0 F IH1 T,EY0 F IH1 T L EY0
OW0 T EY1 F,OW0 T EY1 F L EY0
L EH0 L AH1 F,L EH0 L AH1 F L EY0
B AH1 CH,B AH1 CH W AH0
N IY0 B OW1 F,N IY0 B OW1 F L EY0
F OW0 L IY1 JH,F OW0 L IY1 JH W AH0
CH OW0 P UH1 SH,CH OW0 P UH1 SH W AH0
EH0 F IH1 K,EH0 F IH1 K L EY0
S UH1 K,S UH1 K L EY0
EY0 L UH1 T,EY0 L UH1 T L EY0
EH0 T OW1 S,EH0 T OW1 S W AH0
V IY1 SH,V IY1 SH W AH0
B AH0 F UH1 SH,B AH0 F UH1 SH W AH0
EH0 CH IY1 ZH,EH0 CH IY1 ZH W AH0
V OW0 SH UW1,V OW0 SH UW1 Y IY0
SH UW0 S OW1 F,SH UW0 S OW1 F L EY0
F OW1 P,F OW1 P L EY0
F UW0 F EH1 F,F UW0 F EH1 F L EY0
N EY0 N EY1 P,N EY0 N EY1 P L EY0
S IY1 P,S IY1 P L EY0
AH0 B EY1 F,AH0 B EY1 F L EY0
S IY0 Z IY1 K,S IY0 Z IY1 K L EY0
UW0 P AH1 F,UW0 P AH1 F L EY0
CH IY0 JH IH1 JH,CH IY0 JH IH1 JH W AH0
CH IH1 F,CH IH1 F L EY0
S EH0 B UH1 T,S EH0 B UH1 T L EY0
OW0 JH UW1 JH,OW0 JH UW1 JH W AH0
CH AH0 F UH1 CH,CH AH0 F UH1 CH W AH0
AH0 M IY1 SH,AH0 M IY1 SH W AH0
S OW1 T,S OW1 T L EY0
P EH0 B IY1 T,P EH0 B IY1 T L EY0
UH0 L IY1 P,UH0 L IY1 P L EY0
AH0 G UW1 CH,AH0 G UW1 CH W AH0
EY0 SH OW1 K,EY0 SH OW1 K L EY0
S UH0 L IY1 K,S UH0 L IY1 K L EY0
JH EH0 N UW1,JH EH0 N UW1 Y IY0
EY0 V IH1 S,EY0 V IH1 S W AH0
T EH0 S EH1 K,T EH0 S EH1 K L EY0
JH IY1 F,JH IY1 F L EY0
IY0 G UW1 Z,IY0 G UW1 Z W AH0
Z EH1 K,Z EH1 K L EY0
SH UW1 Z,SH UW1 Z W AH0
L AH0 Z UW1 JH,L AH0 Z UW1 JH W AH0
CH OW1 F,CH OW1 F L EY0
IH0 JH IY1 K,IH0 JH IY1 K L EY0
IH0 P OW1 P,IH0 P OW1 P L EY0
M EH1 K,M EH1 K L EY0
IH0 B UW1 P,IH0 B UW1 P L EY0
EY0 V IY1 K,EY0 V IY1 K L EY0
CH IY1 N,CH IY1 N Y IY0
P OW1 T,P OW1 T L EY0
P IY0 N IY1 N,P IY0 N IY1 N Y IY0
D IH1 ZH,D IH1 ZH W AH0
D AH1 Z,D AH1 Z W AH0
S IH1 T,S IH1 T L EY0
CH EY1 JH,CH EY1 JH W AH0
IH0 D OW1 K,IH0 D OW1 K L EY0
T AH0 D UW1 S,T AH0 D UW1 S W AH0
K EY0 SH IH1 P,K EY0 SH IH1 P L EY0
P EY1 K,P EY1 K L EY0
V UW0 T IY1,V UW0 T IY1 Y IY0
F UH1 K,F UH1 K L EY0
M UW1 K,M UW1 K L EY0
S AH0 JH EH1 T,S AH0 JH EH1 T L EY0
B EY0 D IH1,B EY0 D IH1 Y IY0
EY0 SH AH1 Z,EY0 SH AH1 Z W AH0
IH0 D IY1 Z,IH0 D IY1 Z W AH0
AH0 JH IH1 F,AH0 JH IH1 F L EY0
SH EH1 T,SH EH1 T L EY0
V EH0 S UH1 T,V EH0 S UH1 T L EY0
JH OW1 M,JH OW1 M Y IY0
Z EY1 JH,Z EY1 JH W AH0
CH EH1 T,CH EH1 T L EY0
EY0 D EY1 S,EY0 D EY1 S W AH0
SH EH1 S,SH EH1 S W AH0
K UW1 CH,K UW1 CH W AH0
V AH1 F,V AH1 F L EY0
B EY0 Z EH1 SH,B EY0 Z EH1 SH W AH0
IY0 K UW1 P,IY0 K UW1 P L EY0
Z EY1 F,Z EY1 F L EY0
IH0 L UH1 K,IH0 L UH1 K L EY0
IY0 D OW1 P,IY0 D OW1 P L EY0
IH0 F UW1 N,IH0 F UW1 N Y IY0
D EY0 S UW1 SH,D EY0 S UW1 SH W AH0
F IH1 ZH,F IH1 ZH W AH0
D OW1 ZH,D OW1 ZH W AH0
CH OW1 S,CH OW1 S W AH0
G EH0 SH EH1 M,G EH0 SH EH1 M Y IY0
OW0 JH EY1 P,OW0 JH EY1 P L EY0
AH0 S EY1 N,AH0 S EY1 N Y IY0
S EY0 Z EH1 Z,S EY0 Z EH1 Z W AH0
OW0 D IH1 K,OW0 D IH1 K L EY0
D IY1 F,D IY1 F L EY0
Z IH0 V EH1 Z,Z IH0 V EH1 Z W AH0
CH OW0 T UW1 P,CH OW0 T UW1 P L EY0
UW0 G UH1 K,UW0 G UH1 K L EY0
CH EH0 G UW1 CH,CH EH0 G UW1 CH W AH0
M IY1 Z,M IY1 Z W AH0
T UW0 D AH1 S,T UW0 D AH1 S W AH0
F OW0 T EY1 G,F OW0 T EY1 G Y IY0
JH AH0 K EH1 Z,JH AH0 K EH1 Z W AH0
P EH0 B EH1 S,P EH0 B EH1 S W AH0
S IH0 D OW1 ZH,S IH0 D OW1 ZH W AH0
OW0 JH EY1 T,OW0 JH EY1 T L EY0
UH0 D EY1 N,UH0 D EY1 N Y IY0
IH0 V IY1 Z,IH0 V IY1 Z W AH0
N OW1 K,N OW1 K L EY0
EH0 CH EY1 CH,EH0 CH EY1 CH W AH0
T EY1 ZH,T EY1 ZH W AH0
G EH0 K OW1 T,G EH0 K OW1 T L EY0
SH EY0 K EH1 Z,SH EY0 K EH1 Z W AH0
SH UW1 P,SH UW1 P L EY0
EH0 P OW1 JH,EH0 P OW1 JH W AH0
Z EY1 D,Z EY1 D Y IY0
JH AH1 SH,JH AH1 SH W AH0
N IY0 N UW1 CH,N IY0 N UW1 CH W AH0
IY0 L UW1 P,IY0 L UW1 P L EY0
Z UW1 T,Z UW1 T L EY0
CH EY1 CH,CH EY1 CH W AH0
K UH0 T OW1 ZH,K UH0 T OW1 ZH W AH0
CH EH1 CH,CH EH1 CH W AH0
EH0 Z IY1 Z,EH0 Z IY1 Z W AH0
AH0 D EH1 N,AH0 D EH1 N Y IY0
K EY1 T,K EY1 T L EY0
D AH1 P,D AH1 P L EY0
K IH0 P IY1 F,K IH0 P IY1 F L EY0
OW0 K OW1 N,OW0 K OW1 N Y IY0
B OW0 S EH1 SH,B OW0 S EH1 SH W AH0
IY0 N IY1 CH,IY0 N IY1 CH W AH0
Z IY0 G UH1 K,Z IY0 G UH1 K L EY0
N UW1 SH,N UW1 SH W AH0
Z IH0 B EY1 K,Z IH0 B EY1 K L EY0
JH IH0 SH OW1 K,JH IH0 SH OW1 K L EY0
V IY0 B OW1 T,V IY0 B OW1 T L EY0
P IH0 JH UW1,P IH0 JH UW1 Y IY0
OW0 M IH1 Z,OW0 M IH1 Z W AH0
B IH0 B EY1 S,B IH0 B EY1 S W AH0
JH OW1 T,JH OW1 T L EY0
OW0 G OW1 JH,OW0 G OW1 JH W AH0
B UH0 D OW1 F,B UH0 D OW1 F L EY0
JH IH1 K,JH IH1 K L EY0
N UW1 JH,N UW1 JH W AH0
EH0 D EH1 P,EH0 D EH1 P L EY0
IH0 SH UW1 Z,IH0 SH UW1 Z W AH0
K IY1 K,K IY1 K L EY0
F EH0 T OW1 F,F EH0 T OW1 F L EY0
SH EH0 F EY1,SH EH0 F EY1 Y IY0
T IY1 D,T IY1 D Y IY0
M AH0 SH OW1,M AH0 SH OW1 Y IY0
F IH0 G EH1 CH,F IH0 G EH1 CH W AH0
IH0 F OW1 Z,IH0 F OW1 Z W AH0
T UW1 F,T UW1 F L EY0
UW0 V IY1 T,UW0 V IY1 T L EY0
T UW1 P,T UW1 P L EY0
AH0 JH IY1 Z,AH0 JH IY1 Z W AH0
K EY1 Z,K EY1 Z W AH0
B UH0 L OW1 S,B UH0 L OW1 S W AH0
D EY1 JH,D EY1 JH W AH0
IH0 B OW1 S,IH0 B OW1 S W AH0
V UH0 L EY1 S,V UH0 L EY1 S W AH0
P UW0 V UW1,P UW0 V UW1 Y IY0
CH AH1 P,CH AH1 P L EY0
F AH0 D IH1 T,F AH0 D IH1 T L EY0
IY0 L AH1 NG,IY0 L AH1 NG Y IY0
Z EY1 M,Z EY1 M Y IY0
Z IH0 B EH1 K,Z IH0 B EH1 K L EY0
D AH1 JH,D AH1 JH W AH0
IY0 T EY1 T,IY0 T EY1 T L EY0
Z OW0 N IH1 K,Z OW0 N IH1 K L EY0
IY0 N AH1 NG,IY0 N AH1 NG Y IY0
UW0 SH OW1 JH,UW0 SH OW1 JH W AH0
OW0 D OW1 JH,OW0 D OW1 JH W AH0
UW0 M IY1 S,UW0 M IY1 S W AH0
JH UW0 F UW1 K,JH UW0 F UW1 K L EY0
P AH1 SH,P AH1 SH W AH0
OW0 B OW1 F,OW0 B OW1 F L EY0
B IH1 K,B IH1 K L EY0
L IH1 Z,L IH1 Z W AH0
