singular,plural
UW0 L IH1 F,UW0 L IH1 F L EY0
T EH0 F IH1 Z,T EH0 F IH1 Z W AH0
AH0 K AH1 D,AH0 K AH1 D Y IY0
V IY1 K,V IY1 K L EY0
L IY0 L UH1 T,L IY0 L UH1 T L EY0
Z UW1 K,Z UW1 K L EY0
IH0 G IH1 T,IH0 G IH1 T L EY0
SH OW0 K OW1 K,SH OW0 K OW1 K L EY0
OW0 M IH1 Z,OW0 M IH1 Z W AH0
CH EY0 P IH1 P,CH EY0 P IH1 P L EY0
EH0 V EY1 Z,EH0 V EY1 Z W AH0
AH0 N IH1 F,AH0 N IH1 F L EY0
UW0 Z IH1 M,UW0 Z IH1 M Y IY0
IH0 Z AH1 T,IH0 Z AH1 T L EY0
G UH0 SH IH1 ZH,G UH0 SH IH1 ZH W AH0
UW0 L UW1 Z,UW0 L UW1 Z W AH0
S UW1 ZH,S UW1 ZH W AH0
G AH1 F,G AH1 F L EY0
F UH0 K UW1 JH,F UH0 K UW1 JH W AH0
EH0 G OW1 JH,EH0 G OW1 JH W AH0
JH OW1 F,JH OW1 F L EY0
N UW0 S OW1 ZH,N UW0 S OW1 ZH W AH0
AH0 L IY1 F,AH0 L IY1 F L EY0
UH0 S IH1 SH,UH0 S IH1 SH W AH0
SH EH1 T,SH EH1 T L EY0
K AH0 P IH1 CH,K AH0 P IH1 CH W AH0
S EY0 K AH1 M,S EY0 K AH1 M Y IY0
D IH1 JH,D IH1 JH W AH0
IY0 K EY1 F,IY0 K EY1 F L EY0
IH0 JH IH1 CH,IH0 JH IH1 CH W AH0
P IY1 ZH,P IY1 ZH W AH0
EH0 K UW1 JH,EH0 K UW1 JH W AH0
L EY1 T,L EY1 T L EY0
OW0 SH UW1 N,OW0 SH UW1 N Y IY0
IH0 N EH1 K,IH0 N EH1 K L EY0
JH EH0 CH EH1 P,JH EH0 CH EH1 P L EY0
JH OW0 N OW1,JH OW0 N OW1 Y IY0
OW0 T AH1 S,OW0 T AH1 S W AH0
V IY0 B OW1 T,V IY0 B OW1 T L EY0
JH UW0 D UW1 F,JH UW0 D UW1 F L EY0
Z IY0 G UH1 K,Z IY0 G UH1 K L EY0
G OW1 F,G OW1 F L EY0
V IH0 K OW1 T,V IH0 K OW1 T L EY0
UH0 D EH1 S,UH0 D EH1 S W AH0
M EH1 K,M EH1 K L EY0
V AH0 G EY1 JH,V AH0 G EY1 JH W AH0
S IH0 K IY1 S,S IH0 K IY1 S W AH0
UW0 JH OW1 P,UW0 JH OW1 P L EY0
F EH0 V EY1 P,F EH0 V EY1 P L EY0
OW0 F EY1 T,OW0 F EY1 T L EY0
CH EY0 V EY1 Z,CH EY0 V EY1 Z W AH0
G EH0 L OW1 S,G EH0 L OW1 S W AH0
N AH0 K AH1 K,N AH0 K AH1 K L EY0
G UW0 S IY1 F,G UW0 S IY1 F L EY0
UW0 JH EH1 S,UW0 JH EH1 S W AH0
EH0 L UW1 T,EH0 L UW1 T L EY0
EH0 P IH1 P,EH0 P IH1 P L EY0
SH IH0 M EH1 F,SH IH0 M EH1 F L EY0
AH0 B UW1 ZH,AH0 B UW1 ZH W AH0
V EY0 B IY1 P,V EY0 B IY1 P L EY0
S EY0 L UH1 T,S EY0 L UH1 T L EY0
K IY0 N EY1 S,K IY0 N EY1 S W AH0
L EY1 F,L EY1 F L EY0
N IY1 K,N IY1 K L EY0
T EH0 S EH1 K,T EH0 S EH1 K L EY0
IY0 S AH1 S,IY0 S AH1 S W AH0
CH UW1 JH,CH UW1 JH W AH0
SH EH1 JH,SH EH1 JH W AH0
G IY1 T,G IY1 T L EY0
OW0 Z EH1 NG,OW0 Z EH1 NG Y IY0
M IH0 JH EY1,M IH0 JH EY1 Y IY0
AH0 N UW1 P,AH0 N UW1 P L EY0
IY0 P EH1 SH,IY0 P EH1 SH W AH0
OW0 P AH1 Z,OW0 P AH1 Z W AH0
IY0 T EH1 JH,IY0 T EH1 JH W AH0
OW0 F UH1 K,OW0 F UH1 K L EY0
T IH1 JH,T IH1 JH W AH0
IH0 JH OW1 F,IH0 JH OW1 F L EY0
CH EY1 P,CH EY1 P L EY0
T OW1 Z,T OW1 Z W AH0
M EY1 F,M EY1 F L EY0
JH IH0 B IH1 K,JH IH0 B IH1 K L EY0
F OW0 M EH1 CH,F OW0 M EH1 CH W AH0
K EY0 V IH1 NG,K EY0 V IH1 NG Y IY0
M IY0 M EY1 G,M IY0 M EY1 G Y IY0
EY0 P UH1 T,EY0 P UH1 T L EY0
IY0 L AH1 Z,IY0 L AH1 Z W AH0
G EH1 JH,G EH1 JH W AH0
P EY0 Z EY1 K,P EY0 Z EY1 K L EY0
IH0 B UW1 P,IH0 B UW1 P L EY0
UH0 SH EY1 S,UH0 SH EY1 S W AH0
L OW1 T,L OW1 T L EY0
S UW0 M IY1 F,S UW0 M IY1 F L EY0
CH EH0 G UW1 CH,CH EH0 G UW1 CH W AH0
G UH1 T,G UH1 T L EY0
CH IH1 ZH,CH IH1 ZH W AH0
L IY0 N UW1 JH,L IY0 N UW1 JH W AH0
P AH1 Z,P AH1 Z W AH0
SH EY1 JH,SH EY1 JH W AH0
IH0 CH AH1 CH,IH0 CH AH1 CH W AH0
V EY1 Z,V EY1 Z W AH0
AH0 B EH1 CH,AH0 B EH1 CH W AH0
F IH1 P,F IH1 P L EY0
F UW0 V EY1 F,F UW0 V EY1 F L EY0
F AH0 G IH1 Z,F AH0 G IH1 Z W AH0
S UW1 SH,S UW1 SH W AH0
P OW1 T,P OW1 T L EY0
S EH0 K EY1 Z,S EH0 K EY1 Z W AH0
EY0 SH EY1 P,EY0 SH EY1 P L EY0
N OW0 D IH1 K,N OW0 D IH1 K L EY0
CH IH0 S IH1 F,CH IH0 S IH1 F L EY0
JH EH0 K EH1 P,JH EH0 K EH1 P L EY0
SH UW0 S OW1 F,SH UW0 S OW1 F L EY0
Z EY1 P,Z EY1 P L EY0
K UH1 SH,K UH1 SH W AH0
SH IY0 Z UW1 P,SH IY0 Z UW1 P L EY0
G IY1 K,G IY1 K L EY0
L EY1 P,L EY1 P L EY0
EH0 S UH1 CH,EH0 S UH1 CH W AH0
F IH1 ZH,F IH1 ZH W AH0
G UW0 S UW1 JH,G UW0 S UW1 JH W AH0
L AH0 F OW1 S,L AH0 F OW1 S W AH0
SH UW1 P,SH UW1 P L EY0
T OW1 CH,T OW1 CH W AH0
EH0 V EY1 F,EH0 V EY1 F L EY0
S IH0 JH AH1 N,S IH0 JH AH1 N Y IY0
P OW1 JH,P OW1 JH W AH0
EY0 Z AH1 JH,EY0 Z AH1 JH W AH0
P UW0 M OW1 ZH,P UW0 M OW1 ZH W AH0
L EH0 P UW1 F,L EH0 P UW1 F L EY0
N EY1 Z,N EY1 Z W AH0
CH AH1 F,CH AH1 F L EY0
K EY0 F UW1 Z,K EY0 F UW1 Z W AH0
L UW0 F IY1 F,L UW0 F IY1 F L EY0
SH UW1 ZH,SH UW1 ZH W AH0
N IY0 B OW1 F,N IY0 B OW1 F L EY0
EH0 Z EH1 M,EH0 Z EH1 M Y IY0
K EY1 G,K EY1 G Y IY0
T OW0 K EY1 ZH,T OW0 K EY1 ZH W AH0
JH IY0 B IY1 T,JH IY0 B IY1 T L EY0
F OW1 S,F OW1 S W AH0
D IY1 ZH,D IY1 ZH W AH0
UH0 T UW1 F,UH0 T UW1 F L EY0
T EY0 V EH1,T EY0 V EH1 Y IY0
F IH0 T OW1 S,F IH0 T OW1 S W AH0
JH IY1 Z,JH IY1 Z W AH0
G EY0 JH IH1 S,G EY0 JH IH1 S W AH0
G IH0 JH IH1 JH,G IH0 JH IH1 JH W AH0
Z EY1 JH,Z EY1 JH W AH0
JH OW0 Z UW1 K,JH OW0 Z UW1 K L EY0
D IY0 V UH1 CH,D IY0 V UH1 CH W AH0
IY0 JH OW1 B,IY0 JH OW1 B Y IY0
L AH0 JH EY1 ZH,L AH0 JH EY1 ZH W AH0
JH IH1 K,JH IH1 K L EY0
M UW0 B EY1 Z,M UW0 B EY1 Z W AH0
S UW1 F,S UW1 F L EY0
EY0 P EY1 JH,EY0 P EY1 JH W AH0
F OW0 N OW1 F,F OW0 N OW1 F L EY0
S AH0 B UH1 T,S AH0 B UH1 T L EY0
K OW0 F AH1 P,K OW0 F AH1 P L EY0
OW0 B EH1 B,OW0 B EH1 B Y IY0
P IY0 P IY1 S,P IY0 P IY1 S W AH0
IH0 F OW1 S,IH0 F OW1 S W AH0
T EH1 Z,T EH1 Z W AH0
V EH0 M EH1 Z,V EH0 M EH1 Z W AH0
EH0 CH EY1 P,EH0 CH EY1 P L EY0
SH UW1 K,SH UW1 K L EY0
CH AH1 P,CH AH1 P L EY0
CH OW0 M UW1 T,CH OW0 M UW1 T L EY0
K IY0 D OW1 F,K IY0 D OW1 F L EY0
D EY1 ZH,D EY1 ZH W AH0
AH0 K IH1 P,AH0 K IH1 P L EY0
OW0 D OW1 JH,OW0 D OW1 JH W AH0
K IY0 L EY1 Z,K IY0 L EY1 Z W AH0
IY0 D IY1 T,IY0 D IY1 T L EY0
F UW1 Z,F UW1 Z W AH0
UW0 Z IH1 P,UW0 Z IH1 P L EY0
N OW1 CH,N OW1 CH W AH0
D UW0 T EH1 Z,D UW0 T EH1 Z W AH0
T EY1 ZH,T EY1 ZH W AH0
EY0 P OW1 F,EY0 P OW1 F L EY0
G UH0 K UW1 K,G UH0 K UW1 K L EY0
N EH1 SH,N EH1 SH W AH0
G UH1 K,G UH1 K L EY0
N AH0 S IY1 K,N AH0 S IY1 K L EY0
EY0 S UW1 T,EY0 S UW1 T L EY0
S UH1 K,S UH1 K L EY0
K IH0 P IY1 F,K IH0 P IY1 F L EY0
AH0 P UH1 T,AH0 P UH1 T L EY0
T OW1 S,T OW1 S W AH0
UH0 Z AH1 P,UH0 Z AH1 P L EY0
D AH1 T,D AH1 T L EY0
B EH1 CH,B EH1 CH W AH0
T EH0 D AH1 SH,T EH0 D AH1 SH W AH0
JH IY1 K,JH IY1 K L EY0
K EH1 K,K EH1 K L EY0
G AH0 M IH1 F,G AH0 M IH1 F L EY0
F AH1 F,F AH1 F L EY0
CH UW1 S,CH UW1 S W AH0
Z IH1 T,Z IH1 T L EY0
AH0 S UW1 SH,AH0 S UW1 SH W AH0
S IH0 T IH1 P,S IH0 T IH1 P L EY0
N OW0 V OW1 M,N OW0 V OW1 M Y IY0
S AH1 Z,S AH1 Z W AH0
M UW1 P,M UW1 P L EY0
V IH1 F,V IH1 F L EY0
IH0 D IY1 Z,IH0 D IY1 Z W AH0
N EY0 S IH1 SH,N EY0 S IH1 SH W AH0
IH0 F EH1 S,IH0 F EH1 S W AH0
V AH0 P EH1 CH,V AH0 P EH1 CH W AH0
P IH0 Z UW1 P,P IH0 Z UW1 P L EY0
EY0 T EH1 JH,EY0 T EH1 JH W AH0
F EH0 V EH1 T,F EH0 V EH1 T L EY0
OW0 T OW1 JH,OW0 T OW1 JH W AH0
B UH0 Z UW1 K,B UH0 Z UW1 K L EY0
N AH1 K,N AH1 K L EY0
IY0 G EH1 S,IY0 G EH1 S W AH0
B UH0 L OW1 S,B UH0 L OW1 S W AH0
M AH0 F IY1,M AH0 F IY1 Y IY0
S IY0 P UW1,S IY0 P UW1 Y IY0
EY0 SH AH1 Z,EY0 SH AH1 Z W AH0
M EY0 N EY1 P,M EY0 N EY1 P L EY0
S OW1 Z,S OW1 Z W AH0
F IY1 JH,F IY1 JH W AH0
Z IH1 Z,Z IH1 Z W AH0
UH0 K EH1 SH,UH0 K EH1 SH W AH0
V UH0 D IY1 ZH,V UH0 D IY1 ZH W AH0
M UW1 K,M UW1 K L EY0
D UW1 T,D UW1 T L EY0
G EH0 F OW1 JH,G EH0 F OW1 JH W AH0
JH IY1 G,JH IY1 G Y IY0
CH IH1 S,CH IH1 S W AH0
L AH1 Z,L AH1 Z W AH0
Z EY0 JH EH1 F,Z EY0 JH EH1 F L EY0
UW0 P OW1 ZH,UW0 P OW1 ZH W AH0
JH EH1 Z,JH EH1 Z W AH0
M UW0 P IY1 Z,M UW0 P IY1 Z W AH0
V EY0 K UH1 CH,V EY0 K UH1 CH W AH0
B UW1 S,B UW1 S W AH0
EH0 L UH1 K,EH0 L UH1 K L EY0
IH0 P EH1 N,IH0 P EH1 N Y IY0
JH EH0 JH IY1,JH EH0 JH IY1 Y IY0
V EH0 S UH1 T,V EH0 S UH1 T L EY0
IY0 P OW1 T,IY0 P OW1 T L EY0
EH0 B EY1 CH,EH0 B EY1 CH W AH0
SH IH1 S,SH IH1 S W AH0
EH0 M EH1 S,EH0 M EH1 S W AH0
F UW0 V AH1 S,F UW0 V AH1 S W AH0
V AH1 P,V AH1 P L EY0
T EY1 Z,T EY1 Z W AH0
B EY0 V IY1 SH,B EY0 V IY1 SH W AH0
B UW1 K,B UW1 K L EY0
JH IY1 F,JH IY1 F L EY0
IY0 V IH1 S,IY0 V IH1 S W AH0
EH0 S EH1 P,EH0 S EH1 P L EY0
EH0 L IH1 ZH,EH0 L IH1 ZH W AH0
S IY0 F EH1,S IY0 F EH1 Y IY0
D AH1 B,D AH1 B Y IY0
UH0 D UW1 S,UH0 D UW1 S W AH0
D EY1 CH,D EY1 CH W AH0
K UH0 K UH1 K,K UH0 K UH1 K L EY0
N EY0 G UW1 Z,N EY0 G UW1 Z W AH0
IY0 SH IH1 JH,IY0 SH IH1 JH W AH0
IH0 CH IH1 S,IH0 CH IH1 S W AH0
CH OW1 ZH,CH OW1 ZH W AH0
V AH1 T,V AH1 T L EY0
B OW1 Z,B OW1 Z W AH0
IY0 N EY1 F,IY0 N EY1 F L EY0
IY0 P EH1 T,IY0 P EH1 T L EY0
UH0 T EH1 ZH,UH0 T EH1 ZH W AH0
G IH0 S EH1 K,G IH0 S EH1 K L EY0
K UW1 F,K UW1 F L EY0
UH0 L IY1 S,UH0 L IY1 S W AH0
F IY1 P,F IY1 P L EY0
OW0 G EH1 JH,OW0 G EH1 JH W AH0
UW0 S EY1 K,UW0 S EY1 K L EY0
IY0 K AH1 F,IY0 K AH1 F L EY0
L AH1 F,L AH1 F L EY0
L IH1 T,L IH1 T L EY0
UW0 T IY1 S,UW0 T IY1 S W AH0
T IH0 G OW1 T,T IH0 G OW1 T L EY0
S EY1 CH,S EY1 CH W AH0
K UH1 T,K UH1 T L EY0
L IH0 G OW1 P,L IH0 G OW1 P L EY0
G IY1 ZH,G IY1 ZH W AH0
K UH0 L EH1 S,K UH0 L EH1 S W AH0
V UH1 CH,V UH1 CH W AH0
S AH0 K AH1 K,S AH0 K AH1 K L EY0
Z OW0 Z EH1 SH,Z OW0 Z EH1 SH W AH0
Z IY1 JH,Z IY1 JH W AH0
EH0 JH OW1 T,EH0 JH OW1 T L EY0
K UW1 K,K UW1 K L EY0
D IY1 S,D IY1 S W AH0
P IY1 F,P IY1 F L EY0
M IY1 F,M IY1 F L EY0
CH OW0 T UW1 P,CH OW0 T UW1 P L EY0
JH AH1 Z,JH AH1 Z W AH0
UW0 P UW1 T,UW0 P UW1 T L EY0
D EH1 Z,D EH1 Z W AH0
CH IY0 SH UW1 JH,CH IY0 SH UW1 JH W AH0
AH0 F EH1 F,AH0 F EH1 F L EY0
K EY0 SH IH1 P,K EY0 SH IH1 P L EY0
F UW1 K,F UW1 K L EY0
P EH0 P EH1,P EH0 P EH1 Y IY0
F IH0 SH EH1 JH,F IH0 SH EH1 JH W AH0
Z OW0 S UW1 F,Z OW0 S UW1 F L EY0
JH IH0 Z EH1 SH,JH IH0 Z EH1 SH W AH0
IY0 L AH1 NG,IY0 L AH1 NG Y IY0
S AH0 JH OW1 ZH,S AH0 JH OW1 ZH W AH0
JH EY1 T,JH EY1 T L EY0
SH UW0 L OW1 P,SH UW0 L OW1 P L EY0
N AH1 F,N AH1 F L EY0
AH0 D AH1 T,AH0 D AH1 T L EY0
B UH0 D OW1 F,B UH0 D OW1 F L EY0
UH0 K IY1 F,UH0 K IY1 F L EY0
D UW0 D IY1 T,D UW0 D IY1 T L EY0
D EH1 CH,D EH1 CH W AH0
M UW0 L UH1 T,M UW0 L UH1 T L EY0
S AH1 F,S AH1 F L EY0
