singular,plural
OW0 V UW1 D,OW0 V UW1 D Y IY0
Z EY0 D EY1,Z EY0 D EY1 Y IY0
EY0 K IH1 P,EY0 K IH1 P L EY0
CH IH1 ZH,CH IH1 ZH W AH0
OW0 P UH1 SH,OW0 P UH1 SH W AH0
SH OW1 V,SH OW1 V Y IY0
EH0 F IY1 P,EH0 F IY1 P L EY0
M OW1 JH,M OW1 JH W AH0
D UW0 P IH1 SH,D UW0 P IH1 SH W AH0
JH IH0 B IH1 K,JH IH0 B IH1 K L EY0
N AH0 K AH1 K,N AH0 K AH1 K L EY0
D AH1 V,D AH1 V Y IY0
AH0 B EY1 F,AH0 B EY1 F L EY0
B IH1 V,B IH1 V Y IY0
D EY1 CH,D EY1 CH W AH0
B UW1 CH,B UW1 CH W AH0
CH UW0 P AH1 CH,CH UW0 P AH1 CH W AH0
S EY0 B EH1 T,S EY0 B EH1 T L EY0
T EH0 L UW1,T EH0 L UW1 Y IY0
UH0 S AH1 S,UH0 S AH1 S W AH0
EH0 M IH1 P,EH0 M IH1 P L EY0
V EY1 F,V EY1 F L EY0
Z IH0 G IH1 M,Z IH0 G IH1 M Y IY0
UW0 N UH1 T,UW0 N UH1 T L EY0
Z IY0 V UH1 D,Z IY0 V UH1 D Y IY0
B IH0 M OW1 B,B IH0 M OW1 B Y IY0
L OW1 S,L OW1 S W AH0
AH0 D AH1 T,AH0 D AH1 T L EY0
EH0 S UH1 CH,EH0 S UH1 CH W AH0
IY0 D IY1 N,IY0 D IY1 N Y IY0
N UH0 K IH1 Z,N UH0 K IH1 Z W AH0
EH0 V IY1 M,EH0 V IY1 M Y IY0
T OW0 JH OW1 Z,T OW0 JH OW1 Z W AH0
S UH0 K EY1 G,S UH0 K EY1 G Y IY0
CH IY0 N EH1 K,CH IY0 N EH1 K L EY0
B UW1 K,B UW1 K L EY0
SH UW1 P,SH UW1 P L EY0
CH OW1 ZH,CH OW1 ZH W AH0
OW0 P EH1 NG,OW0 P EH1 NG Y IY0
B UH0 D UW1,B UH0 D UW1 Y IY0
G UW1 Z,G UW1 Z W AH0
JH AH1 N,JH AH1 N Y IY0
AH0 CH EY1 JH,AH0 CH EY1 JH W AH0
SH UW0 M IH1,SH UW0 M IH1 Y IY0
T IY1 D,T IY1 D Y IY0
M UW0 P UH1 T,M UW0 P UH1 T L EY0
D IH0 K AH1,D IH0 K AH1 Y IY0
P EH0 V UH1,P EH0 V UH1 Y IY0
IY0 P EH1 T,IY0 P EH1 T L EY0
EY0 F IH1 T,EY0 F IH1 T L EY0
EH0 L UH1 K,EH0 L UH1 K L EY0
OW0 G EH1 JH,OW0 G EH1 JH W AH0
AH0 SH IH1 T,AH0 SH IH1 T L EY0
G AH0 CH EH1,G AH0 CH EH1 Y IY0
Z UW1 T,Z UW1 T L EY0
JH UW1 SH,JH UW1 SH W AH0
T UW0 B IY1 P,T UW0 B IY1 P L EY0
EH0 SH IY1 ZH,EH0 SH IY1 ZH W AH0
V UW1 F,V UW1 F L EY0
UH0 L EY1 G,UH0 L EY1 G Y IY0
P AH1 V,P AH1 V Y IY0
UW0 T IY1 S,UW0 T IY1 S W AH0
K UW1 K,K UW1 K L EY0
M AH0 S EY1 P,M AH0 S EY1 P L EY0
UH0 T UW1 F,UH0 T UW1 F L EY0
G UW0 V EH1 F,G UW0 V EH1 F L EY0
UW0 F UH1 SH,UW0 F UH1 SH W AH0
D IH0 B AH1 V,D IH0 B AH1 V Y IY0
F EY1 B,F EY1 B Y IY0
IH0 D EH1 N,IH0 D EH1 N Y IY0
AH0 P EH1 JH,AH0 P EH1 JH W AH0
G UW0 K UW1,G UW0 K UW1 Y IY0
OW0 SH AH1 B,OW0 SH AH1 B Y IY0
B EH0 SH IY1 CH,B EH0 SH IY1 CH W AH0
M EY1 F,M EY1 F L EY0
UW0 P OW1 D,UW0 P OW1 D Y IY0
IH0 B OW1 S,IH0 B OW1 S W AH0
V UW0 S IY1 S,V UW0 S IY1 S W AH0
M OW1 M,M OW1 M Y IY0
IY0 G IY1 SH,IY0 G IY1 SH W AH0
B UH0 D OW1 F,B UH0 D OW1 F L EY0
IY0 G AH1 P,IY0 G AH1 P L EY0
B UW0 D IH1 NG,B UW0 D IH1 NG Y IY0
UW0 F UW1 V,UW0 F UW1 V Y IY0
P IY1 ZH,P IY1 ZH W AH0
K EH0 D OW1 JH,K EH0 D OW1 JH W AH0
N OW1 CH,N OW1 CH W AH0
SH IH1 D,SH IH1 D Y IY0
L IY0 V UH1,L IY0 V UH1 Y IY0
K UH0 D AH1 Z,K UH0 D AH1 Z W AH0
EH0 L IH1 ZH,EH0 L IH1 ZH W AH0
L OW1 V,L OW1 V Y IY0
P AH1 M,P AH1 M Y IY0
CH UW0 G OW1 N,CH UW0 G OW1 N Y IY0
V EY0 K OW1 M,V EY0 K OW1 M Y IY0
OW0 L EH1 Z,OW0 L EH1 Z W AH0
Z IH1 D,Z IH1 D Y IY0
UW0 G OW1 V,UW0 G OW1 V Y IY0
G IY1 ZH,G IY1 ZH W AH0
T IY0 CH EY1,T IY0 CH EY1 Y IY0
UW0 B EH1 SH,UW0 B EH1 SH W AH0
IH0 P EY1 B,IH0 P EY1 B Y IY0
K EY0 SH IH1 P,K EY0 SH IH1 P L EY0
F IY0 D EY1 N,F IY0 D EY1 N Y IY0
UH0 S OW1 Z,UH0 S OW1 Z W AH0
CH IH1 CH,CH IH1 CH W AH0
IH0 G IY1 S,IH0 G IY1 S W AH0
N EY0 S AH1,N EY0 S AH1 Y IY0
UW0 L UH1 K,UW0 L UH1 K L EY0
T OW1 B,T OW1 B Y IY0
M EH0 Z IH1,M EH0 Z IH1 Y IY0
B IH0 B EY1 S,B IH0 B EY1 S W AH0
G EY1 F,G EY1 F L EY0
S OW0 L AH1,S OW0 L AH1 Y IY0
Z AH0 JH OW1 S,Z AH0 JH OW1 S W AH0
Z UW0 N OW1 F,Z UW0 N OW1 F L EY0
CH UW1 JH,CH UW1 JH W AH0
P UW1 B,P UW1 B Y IY0
SH IH0 G EH1 F,SH IH0 G EH1 F L EY0
SH OW1 B,SH OW1 B Y IY0
EY0 T EY1 ZH,EY0 T EY1 ZH W AH0
IH0 F EY1 Z,IH0 F EY1 Z W AH0
K UH0 D UW1 P,K UH0 D UW1 P L EY0
D EH0 P UH1 T,D EH0 P UH1 T L EY0
JH OW1 P,JH OW1 P L EY0
D UW0 SH OW1 B,D UW0 SH OW1 B Y IY0
CH OW1 S,CH OW1 S W AH0
V UH0 L EY1 S,V UH0 L EY1 S W AH0
UW0 Z IH1 P,UW0 Z IH1 P L EY0
IH0 K IH1 D,IH0 K IH1 D Y IY0
EH0 Z EY1 B,EH0 Z EY1 B Y IY0
T EY1 F,T EY1 F L EY0
N EH1 ZH,N EH1 ZH W AH0
F AH1 G,F AH1 G Y IY0
IY0 N EY1 F,IY0 N EY1 F L EY0
L OW0 Z EY1,L OW0 Z EY1 Y IY0
EH0 D EY1 B,EH0 D EY1 B Y IY0
L UH0 S AH1,L UH0 S AH1 Y IY0
N UW0 N IY1 Z,N UW0 N IY1 Z W AH0
G OW1 CH,G OW1 CH W AH0
N UH0 K UW1 M,N UH0 K UW1 M Y IY0
L EY0 Z EH1 S,L EY0 Z EH1 S W AH0
UW0 SH OW1 JH,UW0 SH OW1 JH W AH0
UH0 SH EY1 ZH,UH0 SH EY1 ZH W AH0
M UW0 L UH1 T,M UW0 L UH1 T L EY0
S EY0 Z EH1 Z,S EY0 Z EH1 Z W AH0
T EY0 G EY1,T EY0 G EY1 Y IY0
P OW1 T,P OW1 T L EY0
F AH0 B EH1 T,F AH0 B EH1 T L EY0
SH IY0 F UW1 CH,SH IY0 F UW1 CH W AH0
L UW0 B EH1 B,L UW0 B EH1 B Y IY0
D OW1 B,D OW1 B Y IY0
CH EY0 P IY1,CH EY0 P IY1 Y IY0
B OW0 M EH1 Z,B OW0 M EH1 Z W AH0
N UW0 S UW1 M,N UW0 S UW1 M Y IY0
EH0 T AH1 S,EH0 T AH1 S W AH0
JH AH1 P,JH AH1 P L EY0
F AH0 Z EH1 SH,F AH0 Z EH1 SH W AH0
L AH1 P,L AH1 P L EY0
D IH0 G AH1,D IH0 G AH1 Y IY0
K IH0 P IY1 F,K IH0 P IY1 F L EY0
T AH0 D UW1 S,T AH0 D UW1 S W AH0
SH EH1 K,SH EH1 K L EY0
EY0 M UW1 ZH,EY0 M UW1 ZH W AH0
P EY0 Z EY1 K,P EY0 Z EY1 K L EY0
N EY1 K,N EY1 K L EY0
N EY1 N,N EY1 N Y IY0
EY0 JH UW1 V,EY0 JH UW1 V Y IY0
IY0 K IH1 S,IY0 K IH1 S W AH0
JH IY0 F IY1,JH IY0 F IY1 Y IY0
EY0 G OW1 D,EY0 G OW1 D Y IY0
AH0 N IH1 F,AH0 N IH1 F L EY0
V AH1 G,V AH1 G Y IY0
EH0 F AH1 K,EH0 F AH1 K L EY0
CH OW0 T EH1 M,CH OW0 T EH1 M Y IY0
T IH0 SH EH1 F,T IH0 SH EH1 F L EY0
K UH0 T OW1 ZH,K UH0 T OW1 ZH W AH0
L IH1 N,L IH1 N Y IY0
IY0 G EH1 G,IY0 G EH1 G Y IY0
UW0 L IH1 B,UW0 L IH1 B Y IY0
V IY1 Z,V IY1 Z W AH0
CH AH1 Z,CH AH1 Z W AH0
OW0 SH OW1 T,OW0 SH OW1 T L EY0
UW0 T EH1 T,UW0 T EH1 T L EY0
L EH0 D EH1 D,L EH0 D EH1 D Y IY0
K UH0 D OW1,K UH0 D OW1 Y IY0
S UW1 V,S UW1 V Y IY0
T EY1 G,T EY1 G Y IY0
N OW0 D IY1 ZH,N OW0 D IY1 ZH W AH0
L OW0 SH UW1 F,L OW0 SH UW1 F L EY0
S OW1 B,S OW1 B Y IY0
V EY0 L UW1 F,V EY0 L UW1 F L EY0
IH0 JH IH1 N,IH0 JH IH1 N Y IY0
T EH0 S EH1 K,T EH0 S EH1 K L EY0
D UW0 G EH1,D UW0 G EH1 Y IY0
IH0 D IH1 F,IH0 D IH1 F L EY0
Z IY0 S EY1,Z IY0 S EY1 Y IY0
V UH0 Z OW1 S,V UH0 Z OW1 S W AH0
F EY0 SH OW1 CH,F EY0 SH OW1 CH W AH0
P IY0 T IH1,P IY0 T IH1 Y IY0
N EY0 M UW1 V,N EY0 M UW1 V Y IY0
T OW1 F,T OW1 F L EY0
K EY0 D OW1 V,K EY0 D OW1 V Y IY0
AH0 M IY1 SH,AH0 M IY1 SH W AH0
F EH0 D EH1 F,F EH0 D EH1 F L EY0
EH0 Z AH1 K,EH0 Z AH1 K L EY0
M EY0 M EH1 SH,M EY0 M EH1 SH W AH0
P OW0 SH EH1 M,P OW0 SH EH1 M Y IY0
IY0 G UW1 CH,IY0 G UW1 CH W AH0
P UW1 Z,P UW1 Z W AH0
JH UW0 SH IY1 M,JH UW0 SH IY1 M Y IY0
N AH0 S IY1 K,N AH0 S IY1 K L EY0
OW0 JH EH1 P,OW0 JH EH1 P L EY0
L UW0 G OW1 G,L UW0 G OW1 G Y IY0
OW0 D EH1 B,OW0 D EH1 B Y IY0
UW0 Z UW1 Z,UW0 Z UW1 Z W AH0
SH EH0 M IY1 T,SH EH0 M IY1 T L EY0
N OW0 Z IY1 Z,N OW0 Z IY1 Z W AH0
D OW1 D,D OW1 D Y IY0
V IY1 CH,V IY1 CH W AH0
CH AH1 CH,CH AH1 CH W AH0
D IY1 JH,D IY1 JH W AH0
CH IH0 M EY1 M,CH IH0 M EY1 M Y IY0
F AH0 P OW1 JH,F AH0 P OW1 JH W AH0
P UH0 T EH1,P UH0 T EH1 Y IY0
EH0 M UW1 N,EH0 M UW1 N Y IY0
IH0 F UW1 N,IH0 F UW1 N Y IY0
IY0 K AH1 F,IY0 K AH1 F L EY0
T EY0 K UH1 SH,T EY0 K UH1 SH W AH0
JH EY1 P,JH EY1 P L EY0
T IH1 CH,T IH1 CH W AH0
AH0 SH IH1 S,AH0 SH IH1 S W AH0
Z AH1 SH,Z AH1 SH W AH0
EY0 N IY1 K,EY0 N IY1 K L EY0
AH0 M IY1 S,AH0 M IY1 S W AH0
OW0 Z EY1 T,OW0 Z EY1 T L EY0
P EH0 B IY1 T,P EH0 B IY1 T L EY0
SH IY0 S IY1,SH IY0 S IY1 Y IY0
S EY0 G UW1 F,S EY0 G UW1 F L EY0
D OW1 G,D OW1 G Y IY0
G AH1 CH,G AH1 CH W AH0
N UW1 ZH,N UW1 ZH W AH0
P EY1 K,P EY1 K L EY0
G EY0 L IH1 CH,G EY0 L IH1 CH W AH0
CH IH0 S IH1 F,CH IH0 S IH1 F L EY0
IY0 D IY1 T,IY0 D IY1 T L EY0
EY0 N IH1 NG,EY0 N IH1 NG Y IY0
K EH0 D EY1,K EH0 D EY1 Y IY0
V OW1 B,V OW1 B Y IY0
G UH0 L EY1 Z,G UH0 L EY1 Z W AH0
L AH0 F OW1 S,L AH0 F OW1 S W AH0
EY0 K OW1 K,EY0 K OW1 K L EY0
K EH0 JH EY1 F,K EH0 JH EY1 F L EY0
UW0 L IH1 F,UW0 L IH1 F L EY0
EY0 P AH1 N,EY0 P AH1 N Y IY0
UW0 L EY1 CH,UW0 L EY1 CH W AH0
M IH0 G EH1 K,M IH0 G EH1 K L EY0
SH AH1 G,SH AH1 G Y IY0
F EY0 L UH1 SH,F EY0 L UH1 SH W AH0
S IH0 T IH1 P,S IH0 T IH1 P L EY0
EH0 F EY1 G,EH0 F EY1 G Y IY0
JH EH1 K,JH EH1 K L EY0
OW0 JH AH1 V,OW0 JH AH1 V Y IY0
V UW1 ZH,V UW1 ZH W AH0
V UW0 L UW1 CH,V UW0 L UW1 CH W AH0
JH IH0 T EH1 NG,JH IH0 T EH1 NG Y IY0
B EY0 P EY1,B EY0 P EY1 Y IY0
M EH0 N OW1,M EH0 N OW1 Y IY0
V IH1 F,V IH1 F L EY0
K EH0 M IH1 CH,K EH0 M IH1 CH W AH0
IH0 G EH1 SH,IH0 G EH1 SH W AH0
P EY1 F,P EY1 F L EY0
V IH0 T IH1 D,V IH0 T IH1 D Y IY0
T IH1 SH,T IH1 SH W AH0
V IH1 SH,V IH1 SH W AH0
Z IY1 T,Z IY1 T L EY0
D AH0 K EH1 N,D AH0 K EH1 N Y IY0
AH0 CH AH1 P,AH0 CH AH1 P L EY0
IY0 SH IY1 SH,IY0 SH IY1 SH W AH0
IH0 JH UW1 Z,IH0 JH UW1 Z W AH0
K OW0 L EY1 F,K OW0 L EY1 F L EY0
Z OW1 Z,Z OW1 Z W AH0
S EH0 B UH1 T,S EH0 B UH1 T L EY0
V EH0 M EH1 Z,V EH0 M EH1 Z W AH0
SH AH1 CH,SH AH1 CH W AH0
CH IH1 S,CH IH1 S W AH0
S AH1 JH,S AH1 JH W AH0
AH0 SH EY1 CH,AH0 SH EY1 CH W AH0
V EH0 B AH1 JH,V EH0 B AH1 JH W AH0
EY0 M EY1 D,EY0 M EY1 D Y IY0
AH0 G UW1 CH,AH0 G UW1 CH W AH0
D IH0 F IH1 M,D IH0 F IH1 M Y IY0
D IH1 F,D IH1 F L EY0
F IH0 G EH1 CH,F IH0 G EH1 CH W AH0
UH0 SH IH1 G,UH0 SH IH1 G Y IY0
P AH1 SH,P AH1 SH W AH0
G IY1 P,G IY1 P L EY0
B IY0 V EY1 K,B IY0 V EY1 K L EY0
OW0 Z UW1 M,OW0 Z UW1 M Y IY0
EY0 G UH1 T,EY0 G UH1 T L EY0
B IY1 S,B IY1 S W AH0
OW0 T AH1 F,OW0 T AH1 F L EY0
F OW0 D IY1 JH,F OW0 D IY1 JH W AH0
EH0 P OW1 JH,EH0 P OW1 JH W AH0
N AH0 Z IY1 D,N AH0 Z IY1 D Y IY0
G IH0 S UW1 T,G IH0 S UW1 T L EY0
EH0 T IY1 G,EH0 T IY1 G Y IY0
EY0 SH EY1 P,EY0 SH EY1 P L EY0
OW0 Z EH1 NG,OW0 Z EH1 NG Y IY0
Z EH1 S,Z EH1 S W AH0
SH OW1 P,SH OW1 P L EY0
IH0 JH IY1 K,IH0 JH IY1 K L EY0
UW0 G UW1 K,UW0 G UW1 K L EY0
IY0 B UH1 CH,IY0 B UH1 CH W AH0
S UW1 Z,S UW1 Z W AH0
N IH1 N,N IH1 N Y IY0
OW0 F UH1 K,OW0 F UH1 K L EY0
L UW0 T EY1 Z,L UW0 T EY1 Z W AH0
OW0 Z EH1 F,OW0 Z EH1 F L EY0
EY0 K EY1 D,EY0 K EY1 D Y IY0
T AH0 K EH1 JH,T AH0 K EH1 JH W AH0
L IH0 G OW1 P,L IH0 G OW1 P L EY0
EH0 S AH1 CH,EH0 S AH1 CH W AH0
UW0 F EH1 K,UW0 F EH1 K L EY0
G IH1 N,G IH1 N Y IY0
G EH0 T IY1,G EH0 T IY1 Y IY0
S EY0 T EY1,S EY0 T EY1 Y IY0
UH0 S UH1 D,UH0 S UH1 D Y IY0
K IY1 D,K IY1 D Y IY0
EH0 M EH1 S,EH0 M EH1 S W AH0
UW0 Z OW1 CH,UW0 Z OW1 CH W AH0
D EY0 P EY1 CH,D EY0 P EY1 CH W AH0
UW0 B AH1 S,UW0 B AH1 S W AH0
L OW1 T,L OW1 T L EY0
M IY1 SH,M IY1 SH W AH0
IY0 L AH1 Z,IY0 L AH1 Z W AH0
EH0 JH IH1 B,EH0 JH IH1 B Y IY0
Z EY1 P,Z EY1 P L EY0
SH OW1 G,SH OW1 G Y IY0
Z EY1 K,Z EY1 K L EY0
IY0 F IY1 Z,IY0 F IY1 Z W AH0
UH0 S IH1 SH,UH0 S IH1 SH W AH0
M OW0 Z AH1 G,M OW0 Z AH1 G Y IY0
JH AH1 T,JH AH1 T L EY0
IY0 T EY1 T,IY0 T EY1 T L EY0
M UW0 V UH1 T,M UW0 V UH1 T L EY0
G EH0 N UW1 B,G EH0 N UW1 B Y IY0
B UW0 B UH1 CH,B UW0 B UH1 CH W AH0
M UW1 P,M UW1 P L EY0
K IY0 D OW1 F,K IY0 D OW1 F L EY0
CH UW1 S,CH UW1 S W AH0
K EH0 N UW1,K EH0 N UW1 Y IY0
IH0 D IH1 N,IH0 D IH1 N Y IY0
K AH0 K IH1 K,K AH0 K IH1 K L EY0
D OW0 K OW1 F,D OW0 K OW1 F L EY0
L EH0 G EH1,L EH0 G EH1 Y IY0
CH EH0 N UW1 CH,CH EH0 N UW1 CH W AH0
K EH1 JH,K EH1 JH W AH0
IY0 M EY1 K,IY0 M EY1 K L EY0
EH0 B EY1 CH,EH0 B EY1 CH W AH0
P UW1 T,P UW1 T L EY0
AH0 N EH1 SH,AH0 N EH1 SH W AH0
UH0 D IY1 V,UH0 D IY1 V Y IY0
CH EH1 T,CH EH1 T L EY0
UW0 L UW1 Z,UW0 L UW1 Z W AH0
EY0 P AH1 V,EY0 P AH1 V Y IY0
JH IH1 K,JH IH1 K L EY0
Z IY0 Z EH1,Z IY0 Z EH1 Y IY0
UW0 SH AH1 V,UW0 SH AH1 V Y IY0
SH IH1 ZH,SH IH1 ZH W AH0
Z OW0 SH OW1 N,Z OW0 SH OW1 N Y IY0
EY0 L IH1 CH,EY0 L IH1 CH W AH0
P AH1 D,P AH1 D Y IY0
IH0 SH IY1 F,IH0 SH IY1 F L EY0
N EY1 Z,N EY1 Z W AH0
D EY0 B EH1 ZH,D EY0 B EH1 ZH W AH0
UW0 SH UW1 SH,UW0 SH UW1 SH W AH0
L EH0 D IH1 JH,L EH0 D IH1 JH W AH0
SH EH1 Z,SH EH1 Z W AH0
L EY1 ZH,L EY1 ZH W AH0
T AH1 Z,T AH1 Z W AH0
B UH1 T,B UH1 T L EY0
M UW0 G IH1 N,M UW0 G IH1 N Y IY0
N EH1 NG,N EH1 NG Y IY0
IH0 L UH1 K,IH0 L UH1 K L EY0
F OW1 D,F OW1 D Y IY0
UH0 L UH1 CH,UH0 L UH1 CH W AH0
