singular,plural
JH EH0 JH IY1,JH EH0 JH IY1 Y IY0
UH0 SH IH1 G,UH0 SH IH1 G Y IY0
V IY0 G AH1,V IY0 G AH1 Y IY0
T UW1 B,T UW1 B Y IY0
F EY1 D,F EY1 D Y IY0
EH0 G UW1 B,EH0 G UW1 B Y IY0
N OW0 D EY1,N OW0 D EY1 Y IY0
UW0 L IH1 B,UW0 L IH1 B Y IY0
EH0 N AH1 G,EH0 N AH1 G Y IY0
K AH0 V OW1 F,K AH0 V OW1 F L EY0
N EH1 B,N EH1 B Y IY0
UW0 D EY1 B,UW0 D EY1 B Y IY0
SH EH1 T,SH EH1 T L EY0
P AH0 JH AH1,P AH0 JH AH1 Y IY0
UW0 G EH1 G,UW0 G EH1 G Y IY0
EY0 Z EH1 G,EY0 Z EH1 G Y IY0
T OW0 B IY1 N,T OW0 B IY1 N Y IY0
M EH0 D EY1,M EH0 D EY1 Y IY0
F UH0 SH OW1,F UH0 SH OW1 Y IY0
EH0 S OW1 M,EH0 S OW1 M Y IY0
EH0 JH UW1 V,EH0 JH UW1 V Y IY0
P EY1 B,P EY1 B Y IY0
S AH0 SH OW1 D,S AH0 SH OW1 D Y IY0
T OW0 D IH1 G,T OW0 D IH1 G Y IY0
M UW1 T,M UW1 T L EY0
F EY1 B,F EY1 B Y IY0
K UW1 M,K UW1 M Y IY0
G IY0 G OW1 G,G IY0 G OW1 G Y IY0
JH IH0 SH UW1,JH IH0 SH UW1 Y IY0
P IY0 N IY1 N,P IY0 N IY1 N Y IY0
SH OW0 JH IY1,SH OW0 JH IY1 Y IY0
D UW0 F IY1 G,D UW0 F IY1 G Y IY0
N OW0 F IH1 M,N OW0 F IH1 M Y IY0
G UH0 K EY1,G UH0 K EY1 Y IY0
IY0 K IH1 S,IY0 K IH1 S W AH0
B EH0 B OW1,B EH0 B OW1 Y IY0
T EH0 L AH1,T EH0 L AH1 Y IY0
IY0 S AH1 NG,IY0 S AH1 NG Y IY0
D UW0 SH OW1 B,D UW0 SH OW1 B Y IY0
UH0 SH EH1 G,UH0 SH EH1 G Y IY0
IY0 CH UW1 N,IY0 CH UW1 N Y IY0
L EY0 V EY1,L EY0 V EY1 Y IY0
M OW0 SH OW1 N,M OW0 SH OW1 N Y IY0
F AH0 F UW1,F AH0 F UW1 Y IY0
EY0 N AH1 D,EY0 N AH1 D Y IY0
EY0 Z UW1 B,EY0 Z UW1 B Y IY0
EH0 V EY1 N,EH0 V EY1 N Y IY0
G EH1 M,G EH1 M Y IY0
N EY0 V OW1,N EY0 V OW1 Y IY0
EH0 JH EH1 NG,EH0 JH EH1 NG Y IY0
G UW0 V EH1 F,G UW0 V EH1 F L EY0
IH0 CH OW1 D,IH0 CH OW1 D Y IY0
L IH1 F,L IH1 F L EY0
IY0 G UH1 D,IY0 G UH1 D Y IY0
F AH0 L EY1 B,F AH0 L EY1 B Y IY0
F UW0 N EH1,F UW0 N EH1 Y IY0
F AH0 D IH1 M,F AH0 D IH1 M Y IY0
T OW0 Z OW1 V,T OW0 Z OW1 V Y IY0
N AH1 CH,N AH1 CH W AH0
F OW0 M OW1 M,F OW0 M OW1 M Y IY0
M EY0 JH UW1,M EY0 JH UW1 Y IY0
F OW1 V,F OW1 V Y IY0
CH AH1 N,CH AH1 N Y IY0
Z IH0 K UW1 B,Z IH0 K UW1 B Y IY0
K UW0 G EY1 D,K UW0 G EY1 D Y IY0
F UH1 D,F UH1 D Y IY0
IH0 M OW1 D,IH0 M OW1 D Y IY0
M EH0 K UH1,M EH0 K UH1 Y IY0
OW0 JH UW1 SH,OW0 JH UW1 SH W AH0
B UW1 D,B UW1 D Y IY0
V IH0 N IH1,V IH0 N IH1 Y IY0
M OW1 G,M OW1 G Y IY0
B IY1 SH,B IY1 SH W AH0
T EH1 JH,T EH1 JH W AH0
K EH0 S EH1 G,K EH0 S EH1 G Y IY0
SH IY0 F EY1 G,SH IY0 F EY1 G Y IY0
AH0 D IY1 N,AH0 D IY1 N Y IY0
UH0 T IY1 D,UH0 T IY1 D Y IY0
S IH0 P UH1 D,S IH0 P UH1 D Y IY0
B EH1 G,B EH1 G Y IY0
K AH1 NG,K AH1 NG Y IY0
G IH0 T EH1 M,G IH0 T EH1 M Y IY0
K IH0 T EH1 SH,K IH0 T EH1 SH W AH0
F EY1 G,F EY1 G Y IY0
OW0 G AH1 NG,OW0 G AH1 NG Y IY0
JH EY1 G,JH EY1 G Y IY0
N UH0 L OW1,N UH0 L OW1 Y IY0
M IH1 NG,M IH1 NG Y IY0
L EH0 P UW1 F,L EH0 P UW1 F L EY0
JH IH0 L EY1 N,JH IH0 L EY1 N Y IY0
S AH0 CH UW1,S AH0 CH UW1 Y IY0
OW0 V EH1 T,OW0 V EH1 T L EY0
K IY1 D,K IY1 D Y IY0
G IH0 CH IH1,G IH0 CH IH1 Y IY0
K UW0 M IY1 D,K UW0 M IY1 D Y IY0
D IY1 SH,D IY1 SH W AH0
V AH1 B,V AH1 B Y IY0
T EH0 V EY1 N,T EH0 V EY1 N Y IY0
S AH1 V,S AH1 V Y IY0
P IY1 M,P IY1 M Y IY0
B IH0 B EY1 S,B IH0 B EY1 S W AH0
F EH0 V EY1 P,F EH0 V EY1 P L EY0
S IH0 N IY1 N,S IH0 N IY1 N Y IY0
D UW1 V,D UW1 V Y IY0
UW0 P IY1 D,UW0 P IY1 D Y IY0
G OW1 F,G OW1 F L EY0
S IY0 B IH1 ZH,S IY0 B IH1 ZH W AH0
Z AH1 N,Z AH1 N Y IY0
G AH1 D,G AH1 D Y IY0
F EH0 T IH1 M,F EH0 T IH1 M Y IY0
T IY0 CH EH1,T IY0 CH EH1 Y IY0
EH0 M UW1 N,EH0 M UW1 N Y IY0
V EH0 M EH1,V EH0 M EH1 Y IY0
P AH1 D,P AH1 D Y IY0
S EY1 D,S EY1 D Y IY0
CH AH1 B,CH AH1 B Y IY0
B IY0 JH EY1 B,B IY0 JH EY1 B Y IY0
EH0 Z EY1 B,EH0 Z EY1 B Y IY0
S UW1 M,S UW1 M Y IY0
K IH1 B,K IH1 B Y IY0
D EY0 Z AH1,D EY0 Z AH1 Y IY0
P AH0 M IH1 N,P AH0 M IH1 N Y IY0
SH IH0 F UH1 D,SH IH0 F UH1 D Y IY0
K AH0 T IH1 D,K AH0 T IH1 D Y IY0
D IH0 B AH1 V,D IH0 B AH1 V Y IY0
UW0 T OW1 B,UW0 T OW1 B Y IY0
L EY1 T,L EY1 T L EY0
P IH0 T EY1 S,P IH0 T EY1 S W AH0
OW0 Z UW1 M,OW0 Z UW1 M Y IY0
D AH0 JH IY1 D,D AH0 JH IY1 D Y IY0
K IH0 Z IY1 V,K IH0 Z IY1 V Y IY0
S OW1 ZH,S OW1 ZH W AH0
M IH1 Z,M IH1 Z W AH0
N EY0 B EH1,N EY0 B EH1 Y IY0
UW0 P AH1 V,UW0 P AH1 V Y IY0
UW0 L OW1 N,UW0 L OW1 N Y IY0
OW0 SH OW1 T,OW0 SH OW1 T L EY0
S OW1 JH,S OW1 JH W AH0
N IH1 JH,N IH1 JH W AH0
M UW0 P UH1 T,M UW0 P UH1 T L EY0
M IH1 V,M IH1 V Y IY0
Z IH0 B AH1,Z IH0 B AH1 Y IY0
G UW1 V,G UW1 V Y IY0
UW0 S UW1 M,UW0 S UW1 M Y IY0
EH0 CH EY1 G,EH0 CH EY1 G Y IY0
G EY0 D IY1,G EY0 D IY1 Y IY0
JH EH0 N UW1,JH EH0 N UW1 Y IY0
IH0 N EY1 M,IH0 N EY1 M Y IY0
IY0 G EH1 S,IY0 G EH1 S W AH0
D EH0 SH OW1 V,D EH0 SH OW1 V Y IY0
AH0 CH EH1 CH,AH0 CH EH1 CH W AH0
Z OW1 G,Z OW1 G Y IY0
B UW0 N UH1,B UW0 N UH1 Y IY0
L IH1 G,L IH1 G Y IY0
S UH0 K EH1 D,S UH0 K EH1 D Y IY0
T IY1 V,T IY1 V Y IY0
Z IY1 M,Z IY1 M Y IY0
V EY0 T IY1 N,V EY0 T IY1 N Y IY0
S AH0 G EH1 NG,S AH0 G EH1 NG Y IY0
SH IY1 CH,SH IY1 CH W AH0
M IH1 D,M IH1 D Y IY0
P IH0 CH EH1 NG,P IH0 CH EH1 NG Y IY0
IH0 B IY1 N,IH0 B IY1 N Y IY0
EH0 L AH1 CH,EH0 L AH1 CH W AH0
P EY0 T EH1 NG,P EY0 T EH1 NG Y IY0
CH IY1 JH,CH IY1 JH W AH0
EH0 B UW1 F,EH0 B UW1 F L EY0
L EY0 B OW1,L EY0 B OW1 Y IY0
CH EY0 N EH1,CH EY0 N EH1 Y IY0
L AH0 M IY1 K,L AH0 M IY1 K L EY0
K UW0 P UW1 D,K UW0 P UW1 D Y IY0
IH0 L EH1 P,IH0 L EH1 P L EY0
IH0 P EY1 B,IH0 P EY1 B Y IY0
G IY0 Z EY1,G IY0 Z EY1 Y IY0
P IH0 D UW1,P IH0 D UW1 Y IY0
L OW1 V,L OW1 V Y IY0
T EH0 F IH1 Z,T EH0 F IH1 Z W AH0
K UW1 V,K UW1 V Y IY0
SH EY1 ZH,SH EY1 ZH W AH0
CH EH0 F EY1 CH,CH EH0 F EY1 CH W AH0
JH IY1 F,JH IY1 F L EY0
IY0 S EY1 ZH,IY0 S EY1 ZH W AH0
G IH0 M OW1 B,G IH0 M OW1 B Y IY0
L UW1 V,L UW1 V Y IY0
IY0 P AH1 NG,IY0 P AH1 NG Y IY0
V IH1 NG,V IH1 NG Y IY0
G EY0 S AH1 V,G EY0 S AH1 V Y IY0
G AH0 G IH1 V,G AH0 G IH1 V Y IY0
G EY0 M IY1,G EY0 M IY1 Y IY0
EY0 P AH1 N,EY0 P AH1 N Y IY0
B UH1 D,B UH1 D Y IY0
N UW0 P UH1,N UW0 P UH1 Y IY0
UH0 SH IH1 NG,UH0 SH IH1 NG Y IY0
D UW0 T UW1 D,D UW0 T UW1 D Y IY0
V OW0 SH UW1,V OW0 SH UW1 Y IY0
K AH0 L EY1 B,K AH0 L EY1 B Y IY0
AH0 JH EY1 ZH,AH0 JH EY1 ZH W AH0
T OW0 N EY1 B,T OW0 N EY1 B Y IY0
EH0 G EH1 G,EH0 G EH1 G Y IY0
Z IY1 P,Z IY1 P L EY0
SH AH1 D,SH AH1 D Y IY0
K AH0 D UW1 D,K AH0 D UW1 D Y IY0
L UW0 G OW1 G,L UW0 G OW1 G Y IY0
IH0 S UW1 D,IH0 S UW1 D Y IY0
JH AH1 B,JH AH1 B Y IY0
V AH0 F UH1 D,V AH0 F UH1 D Y IY0
S UW0 V EY1 V,S UW0 V EY1 V Y IY0
Z EY0 M EY1,Z EY0 M EY1 Y IY0
P AH1 SH,P AH1 SH W AH0
B IH0 P AH1 V,B IH0 P AH1 V Y IY0
EY0 F IH1 T,EY0 F IH1 T L EY0
N AH1 D,N AH1 D Y IY0
IH0 N IY1 V,IH0 N IY1 V Y IY0
EY0 JH UW1 V,EY0 JH UW1 V Y IY0
D OW0 V EH1 N,D OW0 V EH1 N Y IY0
P EY0 T AH1 NG,P EY0 T AH1 NG Y IY0
JH IY1 D,JH IY1 D Y IY0
T EY0 D OW1 M,T EY0 D OW1 M Y IY0
OW0 B AH1 D,OW0 B AH1 D Y IY0
AH0 D UW1 V,AH0 D UW1 V Y IY0
M OW0 Z EH1 N,M OW0 Z EH1 N Y IY0
K OW1 G,K OW1 G Y IY0
OW0 K OW1 G,OW0 K OW1 G Y IY0
D UW0 L IH1 V,D UW0 L IH1 V Y IY0
F EY0 V UW1,F EY0 V UW1 Y IY0
S IH0 T UW1,S IH0 T UW1 Y IY0
F UH0 S IH1 M,F UH0 S IH1 M Y IY0
N UW0 S IH1,N UW0 S IH1 Y IY0
N UW1 B,N UW1 B Y IY0
G EH0 L OW1 G,G EH0 L OW1 G Y IY0
D AH0 T IY1 Z,D AH0 T IY1 Z W AH0
L AH1 N,L AH1 N Y IY0
M EH1 G,M EH1 G Y IY0
SH OW1 M,SH OW1 M Y IY0
M EY0 T OW1,M EY0 T OW1 Y IY0
S IH0 N OW1,S IH0 N OW1 Y IY0
G IH1 D,G IH1 D Y IY0
JH EY1 V,JH EY1 V Y IY0
CH OW1 M,CH OW1 M Y IY0
M EH1 N,M EH1 N Y IY0
K AH0 T AH1 V,K AH0 T AH1 V Y IY0
OW0 P UW1 T,OW0 P UW1 T L EY0
CH IY0 Z EH1 M,CH IY0 Z EH1 M Y IY0
UH0 L IY1 D,UH0 L IY1 D Y IY0
OW0 P EY1 D,OW0 P EY1 D Y IY0
V EH0 G EH1,V EH0 G EH1 Y IY0
F IH1 D,F IH1 D Y IY0
B UH0 SH AH1 F,B UH0 SH AH1 F L EY0
IH0 M EH1 M,IH0 M EH1 M Y IY0
M OW0 SH IY1 M,M OW0 SH IY1 M Y IY0
F IH0 CH OW1,F IH0 CH OW1 Y IY0
IY0 B IY1 G,IY0 B IY1 G Y IY0
F AH1 D,F AH1 D Y IY0
N EY0 N EY1 P,N EY0 N EY1 P L EY0
K IH0 D AH1 B,K IH0 D AH1 B Y IY0
SH OW1 G,SH OW1 G Y IY0
EY0 M OW1 V,EY0 M OW1 V Y IY0
L EY1 B,L EY1 B Y IY0
F EY1 N,F EY1 N Y IY0
EH0 P AH1 N,EH0 P AH1 N Y IY0
EY0 Z IH1 T,EY0 Z IH1 T L EY0
CH UW0 K OW1,CH UW0 K OW1 Y IY0
G AH1 F,G AH1 F L EY0
N AH1 V,N AH1 V Y IY0
F UH0 D EY1 V,F UH0 D EY1 V Y IY0
M EH0 Z EY1,M EH0 Z EY1 Y IY0
P OW1 V,P OW1 V Y IY0
F OW0 N OW1 F,F OW0 N OW1 F L EY0
EH0 JH IH1 B,EH0 JH IH1 B Y IY0
SH EY0 G OW1,SH EY0 G OW1 Y IY0
F EY0 D EY1 G,F EY0 D EY1 G Y IY0
EH0 Z EY1 V,EH0 Z EY1 V Y IY0
V EH1 JH,V EH1 JH W AH0
IH0 B EH1 ZH,IH0 B EH1 ZH W AH0
AH0 B OW1 S,AH0 B OW1 S W AH0
T IH1 V,T IH1 V Y IY0
N EH1 G,N EH1 G Y IY0
UW0 L EY1 M,UW0 L EY1 M Y IY0
EY0 SH UW1 B,EY0 SH UW1 B Y IY0
UH0 Z OW1 V,UH0 Z OW1 V Y IY0
L AH1 B,L AH1 B Y IY0
UW0 Z UW1 B,UW0 Z UW1 B Y IY0
UW0 S OW1 V,UW0 S OW1 V Y IY0
D EH1 NG,D EH1 NG Y IY0
IH0 F UW1 N,IH0 F UW1 N Y IY0
N UW1 V,N UW1 V Y IY0
EY0 S OW1 G,EY0 S OW1 G Y IY0
UH0 D UW1 V,UH0 D UW1 V Y IY0
CH EY1 JH,CH EY1 JH W AH0
N OW0 V OW1 M,N OW0 V OW1 M Y IY0
B UH0 K UW1 D,B UH0 K UW1 D Y IY0
CH IH0 S IH1 F,CH IH0 S IH1 F L EY0
JH OW1 B,JH OW1 B Y IY0
EY0 V EH1 D,EY0 V EH1 D Y IY0
UH0 D AH1 NG,UH0 D AH1 NG Y IY0
P AH1 V,P AH1 V Y IY0
M EY0 D OW1 K,M EY0 D OW1 K L EY0
AH0 F AH1 V,AH0 F AH1 V Y IY0
M AH0 F IH1 ZH,M AH0 F IH1 ZH W AH0
G UW0 S UH1 SH,G UW0 S UH1 SH W AH0
CH AH0 K AH1,CH AH0 K AH1 Y IY0
M EY0 L UH1,M EY0 L UH1 Y IY0
IH0 V UH1 SH,IH0 V UH1 SH W AH0
UW0 P OW1 D,UW0 P OW1 D Y IY0
OW0 G UW1 S,OW0 G UW1 S W AH0
IH0 G EH1 M,IH0 G EH1 M Y IY0
EH0 JH AH1 K,EH0 JH AH1 K L EY0
P IH0 B IY1 N,P IH0 B IY1 N Y IY0
P UW0 K IH1,P UW0 K IH1 Y IY0
K UH0 D OW1,K UH0 D OW1 Y IY0
AH0 T EH1 ZH,AH0 T EH1 ZH W AH0
V UW1 N,V UW1 N Y IY0
Z AH0 L EH1 B,Z AH0 L EH1 B Y IY0
SH AH1 T,SH AH1 T L EY0
D OW1 D,D OW1 D Y IY0
F UW0 F EH1 F,F UW0 F EH1 F L EY0
IY0 Z OW1 S,IY0 Z OW1 S W AH0
N EH0 F OW1,N EH0 F OW1 Y IY0
P UW0 Z AH1,P UW0 Z AH1 Y IY0
N UH0 D IY1 N,N UH0 D IY1 N Y IY0
AH0 S EH1 B,AH0 S EH1 B Y IY0
AH0 SH IY1 M,AH0 SH IY1 M Y IY0
T EY0 K UH1 D,T EY0 K UH1 D Y IY0
M UW0 G OW1,M UW0 G OW1 Y IY0
Z EY1 M,Z EY1 M Y IY0
OW0 Z EY1 T,OW0 Z EY1 T L EY0
UH0 S AH1 NG,UH0 S AH1 NG Y IY0
JH IH0 T EH1 NG,JH IH0 T EH1 NG Y IY0
EH0 SH EH1 G,EH0 SH EH1 G Y IY0
K EY0 F UW1 CH,K EY0 F UW1 CH W AH0
M OW0 K UH1 T,M OW0 K UH1 T L EY0
CH EY0 V UW1,CH EY0 V UW1 Y IY0
AH0 K OW1 ZH,AH0 K OW1 ZH W AH0
JH IY0 F IY1,JH IY0 F IY1 Y IY0
S EH1 G,S EH1 G Y IY0
P IH0 CH IY1 D,P IH0 CH IY1 D Y IY0
K AH0 K AH1 B,K AH0 K AH1 B Y IY0
EH0 P AH1 P,EH0 P AH1 P L EY0
UW0 B IY1 G,UW0 B IY1 G Y IY0
L EH1 B,L EH1 B Y IY0
F UW0 SH OW1,F UW0 SH OW1 Y IY0
F IH0 T IY1 JH,F IH0 T IY1 JH W AH0
EH0 K OW1 G,EH0 K OW1 G Y IY0
N EY1 T,N EY1 T L EY0
G AH0 SH OW1,G AH0 SH OW1 Y IY0
AH0 CH AH1 G,AH0 CH AH1 G Y IY0
UH0 D OW1 Z,UH0 D OW1 Z W AH0
N EY0 M UW1 V,N EY0 M UW1 V Y IY0
T AH0 G IY1,T AH0 G IY1 Y IY0
CH UW0 M OW1,CH UW0 M OW1 Y IY0
P EY0 JH OW1,P EY0 JH OW1 Y IY0
UH0 L IY1 CH,UH0 L IY1 CH W AH0
Z OW0 Z EH1 SH,Z OW0 Z EH1 SH W AH0
K EH0 CH OW1 V,K EH0 CH OW1 V Y IY0
IH0 M OW1 JH,IH0 M OW1 JH W AH0
K IY0 V EH1,K IY0 V EH1 Y IY0
P AH1 M,P AH1 M Y IY0
F EH0 D EH1 F,F EH0 D EH1 F L EY0
UH0 K UH1 K,UH0 K UH1 K L EY0
CH IH1 NG,CH IH1 NG Y IY0
SH IH1 V,SH IH1 V Y IY0
B UW0 D IH1 NG,B UW0 D IH1 NG Y IY0
Z EY0 D EY1,Z EY0 D EY1 Y IY0
AH0 K IH1 P,AH0 K IH1 P L EY0
IY0 K IH1 K,IY0 K IH1 K L EY0
M EH1 M,M EH1 M Y IY0
G EH0 SH UW1 V,G EH0 SH UW1 V Y IY0
JH EH0 K EY1 V,JH EH0 K EY1 V Y IY0
G IY1 V,G IY1 V Y IY0
N AH0 L OW1,N AH0 L OW1 Y IY0
S AH0 D EY1 B,S AH0 D EY1 B Y IY0
K EY0 D OW1 V,K EY0 D OW1 V Y IY0
G EH0 N UW1 B,G EH0 N UW1 B Y IY0
EY0 G UH1 D,EY0 G UH1 D Y IY0
V IH1 Z,V IH1 Z W AH0
D UW1 T,D UW1 T L EY0
D EY0 Z EY1,D EY0 Z EY1 Y IY0
F AH1 F,F AH1 F L EY0
